"";"x"
"1";1421,452
"2";1421,872
"3";1422,329
"4";1422,674
"5";1423,149
"6";1423,508
"7";1424,095
"8";1424,458
"9";1424,771
"10";1425,274
"11";1425,619
"12";1426,038
"13";1426,397
"14";1426,639
"15";1427,163
"16";1427,448
"17";1427,807
"18";1428,24
"19";1428,682
"20";1429,129
"21";1429,404
"22";1429,818
"23";1430,191
"24";1430,479
"25";1430,838
"26";1431,355
"27";1431,639
"28";1432,156
"29";1432,589
"30";1433,237
"31";1433,549
"32";1433,894
"33";1434,487
"34";1434,892
"35";1435,409
"36";1435,623
"37";1436,056
"38";1436,63
"39";1437,245
"40";1437,763
"41";1438,108
"42";1438,485
"43";1438,984
"44";1439,516
"45";1440,079
"46";1440,391
"47";1440,694
"48";1441,169
"49";1441,561
"50";1442,004
"51";1442,382
"52";1442,727
"53";1443,113
"54";1443,402
"55";1443,719
"56";1444,149
"57";1444,381
"58";1444,81
"59";1445,057
"60";1445,402
"61";1445,806
"62";1446,165
"63";1446,743
"64";1446,999
"65";1447,461
"66";1447,866
"67";1448,31
"68";1448,557
"69";1449,034
"70";1449,467
"71";1450,087
"72";1450,605
"73";1451,08
"74";1451,639
"75";1452,189
"76";1452,748
"77";1453,238
"78";1453,797
"79";1454,287
"80";1454,837
"81";1455,583
"82";1455,886
"83";1456,405
"84";1456,941
"85";1457,486
"86";1458,032
"87";1458,582
"88";1459,1
"89";1459,66
"90";1460,164
"91";1460,7
"92";1461,231
"93";1461,777
"94";1462,323
"95";1462,844
"96";1463,392
"97";1463,956
"98";1464,572
"99";1465,02
"100";1465,579
"101";1466,101
"102";1466,647
"103";1467,193
"104";1467,743
"105";1468,275
"106";1468,821
"107";1469,353
"108";1469,876
"109";1470,437
"110";1470,954
"111";1471,519
"112";1472,037
"113";1472,568
"114";1473,1
"115";1473,65
"116";1474,238
"117";1474,741
"118";1475,263
"119";1475,781
"120";1476,312
"121";1476,844
"122";1477,376
"123";1477,928
"124";1478,474
"125";1478,991
"126";1479,527
"127";1480,073
"128";1480,605
"129";1481,169
"130";1481,686
"131";1482,204
"132";1482,722
"133";1483,253
"134";1483,789
"135";1484,32
"136";1484,855
"137";1485,386
"138";1485,936
"139";1486,481
"140";1487,013
"141";1487,564
"142";1488,124
"143";1488,716
"144";1489,206
"145";1489,738
