"";"x"
"1";2665,36319
"2";2666,01806
"3";2666,35538
"4";2666,68994
"5";2667,02725
"6";2667,40088
"7";2667,77725
"8";2668,09619
"9";2668,45694
"10";2668,79931
"11";2669,16788
"12";2669,52588
"13";2669,87881
"14";2670,18994
"15";2670,58194
"16";2670,87744
"17";2671,246
"18";2671,65869
"19";2672,03506
"20";2672,34619
"21";2672,71475
"22";2673,05713
"23";2673,44913
"24";2673,79931
"25";2674,15225
"26";2674,50244
"27";2674,87881
"28";2675,21338
"29";2675,61319
"30";2675,97119
"31";2676,32413
"32";2676,68994
"33";2677,07413
"34";2677,40869
"35";2677,79288
"36";2678,14306
"37";2678,50381
"38";2678,84619
"39";2679,21475
"40";2679,58056
"41";2679,9335
"42";2680,28369
"43";2680,66006
"44";2680,979
"45";2681,36319
"46";2681,69775
"47";2682,06631
"48";2682,4165
"49";2682,78506
"50";2683,11181
"51";2683,48819
"52";2683,82275
"53";2684,21475
"54";2684,5415
"55";2684,92569
"56";2685,32275
"57";2685,64444
"58";2685,99463
"59";2686,41006
"60";2686,68994
"61";2687,14444
"62";2687,43213
"63";2687,81631
"64";2688,14306
"65";2688,51163
"66";2688,86181
"67";2689,25381
"68";2689,55713
"69";2689,96475
"70";2690,29931
"71";2690,66006
"72";2691,00244
"73";2691,38663
"74";2691,71338
"75";2692,08975
"76";2692,43994
"77";2692,82413
"78";2693,15088
"79";2693,53506
"80";2693,84619
"81";2694,21475
"82";2694,51025
"83";2694,86319
"84";2695,20556
"85";2695,56631
"86";2695,90088
"87";2696,26944
"88";2696,604
"89";2696,96475
"90";2697,29931
"91";2697,67569
"92";2697,99463
"93";2698,36319
"94";2698,70556
"95";2699,07413
"96";2699,37744
"97";2699,76163
"98";2700,11963
"99";2700,44913
"100";2700,83056
"101";2701,21475
"102";2701,5415
"103";2701,92569
"104";2702,24463
"105";2702,621
"106";2702,96338
"107";2703,29288
"108";2703,6665
"109";2704,05069
"110";2704,38525
"111";2704,76944
"112";2705,09619
"113";2705,51163
"114";2705,83838
"115";2706,246
"116";2706,52588
"117";2706,95694
"118";2707,25244
"119";2707,6835
"120";2707,98681
"121";2708,41788
"122";2708,77588
"123";2709,121
"124";2709,47119
"125";2709,86319
"126";2710,20556
"127";2710,58194
"128";2710,90869
"129";2711,27725
"130";2711,62744
"131";2712,00381
"132";2712,32275
"133";2712,71475
"134";2713,05713
"135";2713,41006
"136";2713,77588
"137";2714,15225
"138";2714,48681
"139";2714,87881
"140";2715,19775
"141";2715,61319
"142";2715,93213
"143";2716,31631
"144";2716,65869
"145";2717,01944
"146";2717,36963
"147";2717,72256
"148";2718,0415
"149";2718,4335
"150";2718,73681
"151";2719,11319
"152";2719,43994
"153";2719,83975
"154";2720,15088
"155";2720,47256
"156";2720,86181
"157";2721,23038
"158";2721,58056
"159";2721,97256
"160";2722,29931
"161";2722,65225
"162";2723,01025
"163";2723,37881
"164";2723,76025
"165";2724,08194
"166";2724,39306
"167";2724,76163
"168";2725,06494
"169";2725,4335
"170";2725,75244
"171";2726,09756
"172";2726,43994
"173";2726,77725
"174";2727,12744
"175";2727,48038
"176";2727,79931
"177";2728,13663
"178";2728,48681
"179";2728,86319
"180";2729,15869
