"";"x"
"1";1052,839
"2";1053,212
"3";1053,641
"4";1053,916
"5";1054,42
"6";1054,951
"7";1055,339
"8";1055,861
"9";1056,392
"10";1056,807
"11";1057,068
"12";1057,573
"13";1057,904
"14";1058,249
"15";1058,753
"16";1059,03
"17";1059,431
"18";1059,824
"19";1060,253
"20";1060,728
"21";1061,116
"22";1061,376
"23";1061,848
"24";1062,207
"25";1062,571
"26";1062,869
"27";1063,461
"28";1064,007
"29";1064,595
"30";1064,842
"31";1065,229
"32";1065,603
"33";1065,934
"34";1066,298
"35";1066,717
"36";1067,062
"37";1067,435
"38";1067,836
"39";1068,284
"40";1068,644
"41";1068,844
"42";1069,348
"43";1069,706
"44";1070,125
"45";1070,382
"46";1070,816
"47";1071,086
"48";1071,417
"49";1071,706
"50";1072,168
"51";1072,526
"52";1072,843
"53";1073,464
"54";1074,098
"55";1074,545
"56";1074,83
"57";1075,277
"58";1075,837
"59";1076,098
"60";1076,541
"61";1076,773
"62";1077,146
"63";1077,533
"64";1077,822
"65";1078,414
"66";1078,932
"67";1079,194
"68";1079,538
"69";1079,87
"70";1080,2
"71";1080,608
"72";1080,879
"73";1081,382
"74";1081,829
"75";1082,319
"76";1082,794
"77";1083,083
"78";1083,396
"79";1083,759
"80";1084,072
"81";1084,621
"82";1085,009
"83";1085,297
"84";1085,727
"85";1086,332
"86";1086,836
"87";1087,209
"88";1087,624
"89";1087,931
"90";1088,375
"91";1088,733
"92";1089,195
"93";1089,643
"94";1089,899
"95";1090,301
"96";1090,59
"97";1090,977
"98";1091,555
"99";1091,942
"100";1092,185
"101";1092,502
"102";1092,893
"103";1093,149
"104";1093,583
"105";1093,942
"106";1094,273
"107";1094,572
"108";1095,093
"109";1095,425
"110";1095,886
"111";1096,446
"112";1096,707
"113";1097,065
"114";1097,583
"115";1098,115
"116";1098,501
"117";1098,833
"118";1099,238
"119";1099,583
"120";1099,915
"121";1100,26
"122";1100,749
"123";1101,338
"124";1101,772
"125";1102,117
"126";1102,538
"127";1103,014
"128";1103,429
"129";1103,672
"130";1104,105
"131";1104,451
"132";1104,912
"133";1105,3
"134";1105,687
"135";1106,004
"136";1106,465
"137";1106,736
"138";1107,17
"139";1107,515
"140";1107,93
"141";1108,261
"142";1108,779
"143";1109,054
"144";1109,402
"145";1109,864
"146";1110,223
"147";1110,694
"148";1111,044
"149";1111,46
"150";1111,95
"151";1112,351
"152";1112,641
"153";1113,056
"154";1113,476
"155";1113,821
"156";1114,25
"157";1114,609
"158";1114,973
"159";1115,374
"160";1115,761
"161";1116,326
"162";1116,701
"163";1117,121
"164";1117,452
"165";1117,797
"166";1118,315
"167";1118,66
"168";1119,281
"169";1119,771
"170";1120,013
"171";1120,605
"172";1120,848
"173";1121,124
"174";1121,856
"175";1122,215
"176";1122,706
"177";1123,21
"178";1123,597
"179";1124,004
"180";1124,279
"181";1124,852
"182";1125,226
"183";1125,556
"184";1126,032
"185";1126,565
"186";1126,867
"187";1127,254
"188";1127,828
"189";1128,359
"190";1128,677
"191";1129,022
"192";1129,628
"193";1130,001
"194";1130,262
"195";1130,575
"196";1130,864
"197";1131,224
"198";1131,7
"199";1132,087
"200";1132,363
"201";1132,666
"202";1132,965
"203";1133,441
"204";1133,745
"205";1134,105
"206";1134,539
"207";1135,112
"208";1135,631
"209";1136,079
"210";1136,368
"211";1136,96
"212";1137,306
"213";1137,624
"214";1137,983
"215";1138,378
"216";1138,825
"217";1139,199
"218";1139,614
"219";1140,006
"220";1140,482
"221";1140,884
"222";1141,173
"223";1141,718
"224";1142,008
"225";1142,554
"226";1142,815
"227";1143,202
"228";1143,492
