"";"x"
"1";1728,901
"2";1729,228
"3";1729,619
"4";1729,936
"5";1730,248
"6";1730,58
"7";1730,999
"8";1731,606
"9";1731,866
"10";1732,268
"11";1733,549
"12";1734,249
"13";1735,182
"14";1735,671
"15";1736,203
"16";1736,492
"17";1737,112
"18";1737,601
"19";1737,947
"20";1738,133
"21";1738,637
"22";1739,238
"23";1739,769
"24";1740,191
"25";1740,783
"26";1741,086
"27";1741,431
"28";1741,73
"29";1742,294
"30";1742,784
"31";1743,269
"32";1743,46
"33";1743,833
"34";1744,262
"35";1744,579
"36";1744,882
"37";1745,331
"38";1745,677
"39";1746,093
"40";1746,61
"41";1746,955
"42";1747,321
"43";1747,722
"44";1748,183
"45";1748,645
"46";1749,247
"47";1749,466
"48";1749,956
"49";1750,212
"50";1750,632
"51";1750,86
"52";1751,524
"53";1751,854
"54";1752,2
"55";1752,489
"56";1752,834
"57";1753,249
"58";1753,669
"59";1753,972
"60";1754,373
"61";1754,692
"62";1755,079
"63";1755,471
"64";1756,074
"65";1756,653
"66";1756,937
"67";1757,343
"68";1757,646
"69";1758,164
"70";1758,84
"71";1759,227
"72";1759,791
"73";1760,3
"74";1760,789
"75";1761,176
"76";1761,644
"77";1762,204
"78";1762,735
"79";1763,299
"80";1763,802
"81";1764,334
"82";1764,852
"83";1765,43
"84";1765,947
"85";1766,494
"86";1767,053
"87";1767,617
"88";1768,162
"89";1768,711
"90";1769,46
"91";1769,805
"92";1770,341
"93";1770,9
"94";1771,431
"95";1771,962
"96";1772,54
"97";1773,1
"98";1773,649
"99";1774,223
"100";1774,754
"101";1775,332
"102";1775,864
"103";1776,429
"104";1777,003
"105";1777,567
"106";1778,113
"107";1778,676
"108";1779,208
"109";1779,767
"110";1780,299
"111";1780,821
"112";1781,381
"113";1781,898
"114";1782,476
"115";1783,022
"116";1783,555
"117";1784,106
"118";1784,651
"119";1785,229
"120";1785,747
"121";1786,292
"122";1786,87
"123";1787,388
"124";1787,961
"125";1788,479
"126";1789,07
"127";1789,662
"128";1790,22
"129";1790,801
"130";1791,36
"131";1791,892
"132";1792,469
"133";1793,042
"134";1793,578
"135";1794,165
"136";1794,715
"137";1795,26
"138";1795,794
"139";1796,386
"140";1796,917
"141";1797,477
"142";1798,043
"143";1798,616
"144";1799,152
"145";1799,725
"146";1800,271
"147";1800,849
"148";1801,38
"149";1801,93
"150";1802,461
"151";1803,021
"152";1803,552
"153";1804,074
"154";1804,675
"155";1805,255
"156";1805,786
"157";1806,322
"158";1806,896
"159";1807,399
"160";1807,846
"161";1808,019
"162";1808,551
"163";1809,143
"164";1809,703
"165";1810,22
"166";1810,77
"167";1811,329
"168";1811,889
"169";1812,413
"170";1812,888
"171";1813,49
"172";1814,054
"173";1814,571
"174";1815,102
"175";1815,68
"176";1816,24
"177";1816,716
"178";1817,523
"179";1817,825
"180";1818,427
"181";1818,819
"182";1819,193
"183";1819,671
"184";1820,076
"185";1820,505
"186";1820,925
"187";1821,368
"188";1821,773
"189";1822,221
"190";1822,608
"191";1823,069
"192";1823,47
"193";1823,918
"194";1824,333
"195";1824,752
"196";1825,172
"197";1825,601
"198";1826,006
"199";1826,421
"200";1826,856
"201";1827,23
"202";1827,691
"203";1828,125
"204";1828,526
"205";1828,973
"206";1829,375
"207";1829,795
"208";1830,183
"209";1830,616
"210";1831,017
"211";1831,451
"212";1831,866
"213";1832,313
"214";1832,72
"215";1833,177
"216";1833,61
"217";1834,045
"218";1834,46
"219";1834,894
"220";1835,313
"221";1835,729
"222";1836,12
"223";1836,563
"224";1836,969
"225";1837,384
"226";1837,776
"227";1838,149
"228";1838,611
"229";1839,04
"230";1839,459
"231";1839,832
"232";1840,281
"233";1840,724
"234";1841,132
"235";1841,551
"236";1841,966
"237";1842,371
"238";1842,786
"239";1843,192
"240";1843,607
"241";1844,027
"242";1844,427
"243";1844,861
"244";1845,276
"245";1845,695
"246";1846,097
"247";1846,558
"248";1846,963
"249";1847,392
"250";1847,798
"251";1848,233
"252";1848,607
"253";1849,041
"254";1849,455
"255";1849,875
"256";1850,277
"257";1850,679
"258";1851,057
"259";1851,43
"260";1851,878
"261";1852,307
"262";1852,713
"263";1853,142
"264";1853,534
"265";1853,95
"266";1854,328
"267";1854,771
"268";1855,148
"269";1855,585
