"";"x"
"1";2656,736
"2";2657,127
"3";2657,571
"4";2658,066
"5";2658,64
"6";2659,172
"7";2659,677
"8";2660,036
"9";2660,385
"10";2660,716
"11";2661,262
"12";2661,868
"13";2662,4
"14";2662,89
"15";2663,179
"16";2663,869
"17";2664,303
"18";2664,704
"19";2665,207
"20";2665,541
"21";2666,017
"22";2666,576
"23";2667,052
"24";2667,415
"25";2667,948
"26";2668,321
"27";2668,666
"28";2669,127
"29";2669,501
"30";2669,978
"31";2670,169
"32";2670,743
"33";2671,06
"34";2671,418
"35";2671,68
"36";2671,955
"37";2672,679
"38";2673,169
"39";2673,631
"40";2674,12
"41";2674,377
"42";2674,941
"43";2675,459
"44";2675,902
"45";2676,294
"46";2676,727
"47";2677,185
"48";2677,576
"49";2677,846
"50";2678,294
"51";2678,686
"52";2679,058
"53";2679,445
"54";2679,71
"55";2680,322
"56";2680,683
"57";2681,183
"58";2681,682
"59";2682,21
"60";2682,538
"61";2682,895
"62";2683,209
"63";2683,61
"64";2683,925
"65";2684,323
"66";2684,623
"67";2685,025
"68";2685,381
"69";2685,667
"70";2686,066
"71";2686,436
"72";2686,723
"73";2687,114
"74";2687,46
"75";2687,809
"76";2688,182
"77";2688,597
"78";2688,9
"79";2689,319
"80";2689,636
"81";2689,981
"82";2690,354
"83";2690,761
"84";2691,046
"85";2691,438
"86";2691,867
"87";2692,258
"88";2692,557
"89";2692,977
"90";2693,294
"91";2693,639
"92";2694,012
"93";2694,42
"94";2694,722
"95";2695,082
"96";2695,441
"97";2695,846
"98";2696,233
"99";2696,62
"100";2696,966
"101";2697,297
"102";2697,66
"103";2698,019
"104";2698,379
"105";2698,737
"106";2699,041
"107";2699,46
"108";2699,759
"109";2700,178
"110";2700,537
"111";2700,911
"112";2701,249
"113";2701,608
"114";2701,967
"115";2702,341
"116";2702,718
"117";2703,063
"118";2703,394
"119";2703,81
"120";2704,154
"121";2704,5
"122";2704,877
"123";2705,236
"124";2705,609
"125";2705,954
"126";2706,271
"127";2706,677
"128";2706,975
"129";2707,381
"130";2707,684
"131";2708,113
"132";2708,464
"133";2708,837
"134";2709,196
"135";2709,569
"136";2709,919
"137";2710,232
"138";2710,535
"139";2710,955
"140";2711,211
"141";2711,617
"142";2711,949
"143";2712,337
"144";2712,612
"145";2713,046
