"";"x"
"1";1270,89713
"2";1271,5455
"3";1272,07681
"4";1272,58456
"5";1272,96744
"6";1273,60019
"7";1274,17838
"8";1274,74081
"9";1275,27994
"10";1275,81113
"11";1276,32681
"12";1276,7955
"13";1277,39713
"14";1277,87363
"15";1278,51431
"16";1278,95956
"17";1279,55338
"18";1280,01425
"19";1280,61588
"20";1281,15488
"21";1281,67838
"22";1282,233
"23";1282,73306
"24";1283,20175
"25";1283,79556
"26";1284,36581
"27";1284,87369
"28";1285,38144
"29";1285,92838
"30";1286,38144
"31";1286,96744
"32";1287,4205
"33";1288,01431
"34";1288,53769
"35";1289,069
"36";1289,59238
"37";1290,1315
"38";1290,49081
"39";1291,20963
"40";1291,68613
"41";1292,24869
"42";1292,71738
"43";1293,30338
"44";1293,67831
"45";1294,36588
"46";1294,70956
"47";1295,41275
"48";1295,87363
"49";1296,46744
"50";1296,82675
"51";1297,52994
"52";1298,05331
"53";1298,58463
"54";1299,07675
"55";1299,63931
"56";1300,10019
"57";1300,694
"58";1301,24081
"59";1301,74869
"60";1302,27988
"61";1302,80338
"62";1303,13925
"63";1303,694
"64";1304,31894
"65";1304,87369
"66";1305,38144
"67";1305,8815
"68";1306,38925
"69";1306,96744
"70";1307,45956
"71";1307,96744
"72";1308,358
"73";1309,06119
"74";1309,58456
"75";1310,11588
"76";1310,46738
"77";1311,17838
"78";1311,50644
"79";1312,20963
"80";1312,55331
"81";1313,24088
"82";1313,60019
"83";1314,32681
"84";1314,7955
"85";1315,35025
"86";1315,84238
"87";1316,40494
"88";1316,95175
"89";1317,46744
"90";1317,9205
"91";1318,52994
"92";1319,09238
"93";1319,58463
"94";1319,96738
"95";1320,6315
"96";1321,15488
"97";1321,67838
"98";1322,18613
"99";1322,71744
"100";1323,1705
"101";1323,76431
"102";1324,13144
"103";1324,819
"104";1325,33456
"105";1325,86588
"106";1326,40488
"107";1326,90494
"108";1327,26425
"109";1327,93619
"110";1328,46738
"111";1328,99869
"112";1329,483
"113";1330,03775
"114";1330,52988
"115";1330,95963
"116";1331,36581
"117";1331,819
"118";1332,15488
"119";1332,60025
"120";1332,91269
"121";1333,32681
"122";1333,70175
"123";1334,20181
"124";1334,483
"125";1334,944
"126";1335,27206
"127";1335,66275
"128";1336,09238
"129";1336,52994
"130";1336,88144
"131";1337,27213
"132";1337,63925
"133";1338,07681
"134";1338,40488
"135";1338,83463
"136";1339,21738
"137";1339,63931
"138";1340,01425
"139";1340,41275
"140";1340,77988
"141";1341,22525
"142";1341,56894
"143";1341,98306
"144";1342,31894
"145";1342,70181
"146";1343,11581
"147";1343,569
"148";1343,88925
"149";1344,29556
"150";1344,72519
"151";1345,13931
"152";1345,52206
"153";1345,944
"154";1346,30331
"155";1346,73306
"156";1347,108
"157";1347,52213
"158";1347,83456
"159";1348,28775
"160";1348,6705
"161";1349,08463
"162";1349,39706
"163";1349,85025
"164";1350,1705
"165";1350,57681
"166";1350,99863
"167";1351,45963
"168";1351,78769
"169";1352,13931
"170";1352,51425
"171";1352,97525
"172";1353,358
"173";1353,77213
"174";1354,15488
"175";1354,569
"176";1354,89706
"177";1355,33463
"178";1355,67831
"179";1356,09244
"180";1356,46738
"181";1356,8815
"182";1357,24081
"183";1357,65494
"184";1358,02206
"185";1358,444
"186";1358,81113
"187";1359,21744
"188";1359,59238
"189";1359,99869
"190";1360,38144
"191";1360,77994
"192";1361,08456
"193";1361,54556
"194";1361,92831
"195";1362,31119
"196";1362,63144
"197";1363,10806
"198";1363,38144
"199";1363,83463
"200";1364,21738
"201";1364,53775
"202";1364,95956
"203";1365,37369
"204";1365,70175
"205";1366,07681
"206";1366,49863
"207";1366,88931
"208";1367,26425
"209";1367,65494
"210";1368,02206
"211";1368,35025
"212";1368,70956
"213";1369,17056
"214";1369,46738
"215";1369,92838
"216";1370,2955
"217";1370,66275
"218";1370,983
"219";1371,42838
"220";1371,7955
"221";1372,17838
"222";1372,53769
"223";1372,93619
"224";1373,31113
"225";1373,71744
"226";1374,07675
"227";1374,49088
"228";1374,858
"229";1375,24088
"230";1375,608
"231";1376,0065
"232";1376,36581
"233";1376,76431
"234";1377,09238
"235";1377,52213
"236";1377,88925
"237";1378,29556
"238";1378,67831
"239";1379,08463
"240";1379,4205
"241";1379,819
"242";1380,17831
"243";1380,58463
"244";1380,95956
"245";1381,34244
"246";1381,72519
"247";1382,1315
"248";1382,45175
"249";1382,91275
"250";1383,27988
"251";1383,68619
"252";1384,06113
"253";1384,38931
"254";1384,81113
"255";1385,20181
"256";1385,57675
"257";1386,01431
"258";1386,35019
"259";1386,74088
"260";1387,12363
"261";1387,52994
"262";1387,90488
"263";1388,32681
"264";1388,6705
"265";1389,06119
"266";1389,37363
"267";1389,82681
"268";1390,19394
"269";1390,58463
"270";1390,95175
"271";1391,34244
"272";1391,69394
"273";1392,08463
"274";1392,45956
"275";1392,81119
"276";1393,26425
"277";1393,59244
"278";1394,01425
"279";1394,42056
"280";1394,74081
"281";1395,17056
"282";1395,49081
"283";1395,93619
"284";1396,31113
"285";1396,67056
"286";1397,10019
"287";1397,444
"288";1397,86581
"289";1398,24869
"290";1398,63925
"291";1399,02994
"292";1399,40488
"293";1399,819
"294";1400,16269
"295";1400,55338
"296";1400,87363
"297";1401,30338
"298";1401,67831
"299";1402,10025
"300";1402,46738
"301";1402,89713
"302";1403,22519
"303";1403,63931
"304";1404,01425
"305";1404,40494
"306";1404,76425
"307";1405,15494
"308";1405,5455
"309";1405,96744
"310";1406,2955
"311";1406,68619
"312";1407,07675
"313";1407,46744
"314";1407,83456
"315";1408,22525
"316";1408,58456
"317";1408,97525
"318";1409,32675
"319";1409,70963
"320";1410,08456
"321";1410,47525
"322";1410,84238
"323";1411,22525
"324";1411,59238
"325";1412,03775
"326";1412,36581
"327";1412,76431
"328";1413,09238
"329";1413,55338
"330";1413,9205
"331";1414,2565
"332";1414,67831
"333";1415,07681
"334";1415,40488
"335";1415,88931
"336";1416,22519
"337";1416,61588
"338";1417,00644
"339";1417,37369
"340";1417,70956
"341";1418,14713
"342";1418,53769
"343";1418,92838
"344";1419,27988
"345";1419,66275
"346";1420,0455
"347";1420,45963
"348";1420,81894
"349";1421,20963
"350";1421,59238
"351";1421,98306
"352";1422,358
"353";1422,76431
"354";1423,13925
"355";1423,46744
"356";1423,88144
"357";1424,27994
"358";1424,59238
"359";1425,06119
"360";1425,40488
"361";1425,77213
"362";1426,15488
"363";1426,60025
"364";1426,90488
"365";1427,34244
"366";1427,64706
"367";1428,10025
"368";1428,46738
"369";1428,84244
"370";1429,20956
"371";1429,62369
"372";1429,93613
"373";1430,38931
"374";1430,70956
"375";1431,13931
"376";1431,47519
"377";1431,89713
"378";1432,22519
"379";1432,61588
"380";1433,0455
"381";1433,444
"382";1433,75644
"383";1434,17838
"384";1434,52988
"385";1434,99869
"386";1435,30331
"387";1435,694
"388";1436,05331
"389";1436,49869
"390";1436,88925
"391";1437,26431
"392";1437,65488
"393";1438,02994
"394";1438,358
"395";1438,79556
"396";1439,15488
"397";1439,55338
"398";1439,87363
"399";1440,26431
"400";1440,63144
"401";1441,069
"402";1441,39706
"403";1441,82681
"404";1442,18613
"405";1442,60806
"406";1442,94394
"407";1443,31119
"408";1443,63925
"409";1444,12369
"410";1444,41269
"411";1444,85806
"412";1445,233
"413";1445,61588
"414";1445,95956
"415";1446,34244
"416";1446,70956
"417";1447,10806
"418";1447,47519
"419";1447,85025
"420";1448,22519
"421";1448,6315
"422";1448,93613
"423";1449,3815
"424";1449,70175
"425";1450,11588
"426";1450,43613
"427";1450,87369
"428";1451,25644
"429";1451,64713
"430";1451,99863
"431";1452,41275
"432";1452,76425
"433";1453,20181
"434";1453,52988
"435";1453,93619
"436";1454,2955
"437";1454,68619
"438";1455,06113
"439";1455,49088
"440";1455,83456
"441";1456,24869
"442";1456,52988
"443";1456,97525
"444";1457,27988
"445";1457,73306
"446";1458,0455
"447";1458,49869
"448";1458,81113
"449";1459,24869
"450";1459,62363
"451";1460,0065
"452";1460,33456
"453";1460,79556
"454";1461,108
"455";1461,55338
"456";1461,91269
"457";1462,319
"458";1462,69394
"459";1463,08463
"460";1463,45175
"461";1463,84244
"462";1464,21738
"463";1464,61588
"464";1464,96738
"465";1465,31119
"466";1465,68613
"467";1466,16275
"468";1466,49081
"469";1466,89713
"470";1467,27206
"471";1467,67056
"472";1468,03769
"473";1468,43619
