"";"x"
"400";2543,839
"401";2544,199
"402";2544,515
"403";2544,863
"404";2545,166
"405";2545,525
"406";2545,856
"407";2546,201
"408";2546,49
"409";2546,863
"410";2547,194
"411";2547,525
"412";2547,828
"413";2548,188
"414";2548,518
"415";2548,868
"416";2549,18
"417";2549,53
"418";2549,861
"419";2550,206
"420";2550,523
"421";2550,868
"422";2551,186
"423";2551,546
"424";2551,837
"425";2552,21
"426";2552,512
"427";2552,885
"428";2553,203
"429";2553,562
"430";2553,892
"431";2554,223
"432";2554,554
"433";2554,899
"434";2555,23
"435";2555,579
"436";2555,878
"437";2556,256
"438";2556,558
"439";2556,918
"440";2557,235
"441";2557,58
"442";2557,883
"443";2558,256
"444";2558,573
"445";2558,918
"446";2559,25
"447";2559,595
"448";2559,898
"449";2560,257
"450";2560,546
"451";2560,919
"452";2561,222
"453";2561,595
"454";2561,913
"455";2562,259
"456";2562,576
"457";2562,921
"458";2563,224
"459";2563,583
"460";2563,886
"461";2564,245
"462";2564,548
"463";2564,907
"464";2565,243
"465";2565,588
"466";2565,919
"467";2566,238
"468";2566,542
"469";2566,914
"470";2567,232
"471";2567,591
"472";2567,88
"473";2568,253
"474";2568,584
"475";2568,929
"476";2569,261
"477";2569,605
"478";2569,909
"479";2570,282
"480";2570,585
"481";2570,929
"482";2571,261
"483";2571,592
"484";2571,895
"485";2572,255
"486";2572,573
"487";2572,918
"488";2573,235
"489";2573,573
"490";2573,886
"491";2574,235
"492";2574,566
"493";2574,897
"494";2575,228
"495";2575,574
"496";2575,891
"497";2576,236
"498";2576,539
"499";2576,898
"500";2577,215
"501";2577,546
"502";2577,849
"503";2578,208
"504";2578,525
"505";2578,87
"506";2579,173
"507";2579,518
"508";2579,807
"509";2580,165
"510";2580,468
"511";2580,829
"512";2581,146
"513";2581,476
"514";2581,78
"515";2582,139
"516";2582,47
"517";2582,802
"518";2583,059
"519";2583,451
"520";2583,768
"521";2584,113
"522";2584,416
"523";2584,775
"524";2585,092
"525";2585,451
"526";2585,74
"527";2586,1
"528";2586,403
"529";2586,776
"530";2587,079
"531";2587,438
"532";2587,756
"533";2588,117
"534";2588,421
"535";2588,799
"536";2589,098
"537";2589,461
"538";2589,779
"539";2590,138
"540";2590,469
"541";2590,814
"542";2591,146
"543";2591,491
"544";2591,836
"545";2592,167
"546";2592,484
"547";2592,844
"548";2593,176
"549";2593,509
"550";2593,826
"551";2594,158
"552";2594,489
"553";2594,82
"554";2595,112
"555";2595,472
"556";2595,816
"557";2596,148
"558";2596,465
"559";2596,81
"560";2597,127
"561";2597,472
"562";2597,804
"563";2598,135
"564";2598,438
"565";2598,802
"566";2599,115
"567";2599,464
"568";2599,781
"569";2600,126
"570";2600,425
"571";2600,788
"572";2601,105
"573";2601,451
"574";2601,754
"575";2602,113
"576";2602,43
"577";2602,775
"578";2603,092
"579";2603,438
"580";2603,742
"581";2604,102
"582";2604,405
"583";2604,764
"584";2605,095
"585";2605,44
"586";2605,757
