"";"x"
"1";1785,30881
"2";1785,84806
"3";1786,31663
"4";1786,75431
"5";1787,2385
"6";1787,69963
"7";1788,22288
"8";1788,72306
"9";1789,19163
"10";1789,66838
"11";1790,15256
"12";1790,53556
"13";1791,10569
"14";1791,61369
"15";1792,09006
"16";1792,56681
"17";1793,01975
"18";1793,54338
"19";1794,051
"20";1794,52775
"21";1795,051
"22";1795,54338
"23";1796,02756
"24";1796,50431
"25";1797,03538
"26";1797,52775
"27";1798,01975
"28";1798,4965
"29";1798,9885
"30";1799,48869
"31";1799,97288
"32";1800,46525
"33";1800,96506
"34";1801,29338
"35";1801,94163
"36";1802,434
"37";1802,91819
"38";1803,41056
"39";1803,90256
"40";1804,3715
"41";1804,88694
"42";1805,36369
"43";1805,87131
"44";1806,34806
"45";1806,85569
"46";1807,32463
"47";1807,84006
"48";1808,309
"49";1808,84788
"50";1809,32463
"51";1809,84788
"52";1810,36369
"53";1810,8635
"54";1811,33244
"55";1811,85569
"56";1812,33244
"57";1812,84788
"58";1813,33244
"59";1813,84788
"60";1814,32463
"61";1814,84788
"62";1815,33244
"63";1815,8635
"64";1816,33244
"65";1816,8635
"66";1817,37931
"67";1817,87131
"68";1818,37931
"69";1818,88694
"70";1819,36369
"71";1819,91038
"72";1820,3715
"73";1820,84788
"74";1821,37931
"75";1821,83225
"76";1822,37931
"77";1822,87131
"78";1823,34806
"79";1823,89475
"80";1824,35588
"81";1824,90256
"82";1825,35588
"83";1825,89475
"84";1826,41056
"85";1826,91819
"86";1827,42619
"87";1827,93381
"88";1828,44181
"89";1828,94163
"90";1829,434
"91";1829,94944
"92";1830,45744
"93";1830,94944
"94";1831,42619
"95";1831,94163
"96";1832,41056
"97";1832,93381
"98";1833,42619
"99";1833,95725
"100";1834,44181
"101";1834,96506
"102";1835,44963
"103";1835,9885
"104";1836,47306
"105";1837,00413
"106";1837,48869
"107";1838,02756
"108";1838,4965
"109";1839,01975
"110";1839,47306
"111";1839,98069
"112";1840,47306
"113";1840,99631
"114";1841,47306
"115";1841,9885
"116";1842,48869
"117";1842,97288
"118";1843,44181
"119";1843,94163
"120";1844,37931
"121";1844,79319
"122";1845,12931
"123";1845,51975
"124";1845,809
"125";1846,12913
"126";1846,44963
"127";1846,73069
"128";1847,03556
"129";1847,41819
"130";1847,69181
"131";1848,051
"132";1848,37931
"133";1848,7385
"134";1849,04338
"135";1849,39475
"136";1849,72306
"137";1850,02756
"138";1850,40275
"139";1850,74631
"140";1851,06681
"141";1851,37913
"142";1851,76213
"143";1852,1135
"144";1852,44181
"145";1852,75413
"146";1853,13713
"147";1853,49631
"148";1853,81681
"149";1854,19944
"150";1854,50431
"151";1854,84788
"152";1855,17619
"153";1855,53538
"154";1855,87931
"155";1856,23069
"156";1856,56681
"157";1856,94944
"158";1857,25431
"159";1857,6135
"160";1857,934
"161";1858,28538
"162";1858,46525
"163";1858,90256
"164";1859,26994
"165";1859,62131
"166";1859,934
"167";1860,301
"168";1860,6215
"169";1860,9885
"170";1861,32463
"171";1861,6135
"172";1861,96525
"173";1862,33225
"174";1862,60588
"175";1863,01975
"176";1863,34806
"177";1863,71506
"178";1864,03556
"179";1864,41038
"180";1864,71525
"181";1865,08225
"182";1865,35588
"183";1865,74631
"184";1866,10588
"185";1866,45725
"186";1866,78556
"187";1867,16819
"188";1867,45744
"189";1867,84788
"190";1868,184
"191";1868,551
"192";1868,86369
"193";1869,22288
"194";1869,55119
"195";1869,88694
"196";1870,16838
"197";1870,59006
"198";1870,91056
"199";1871,29319
"200";1871,61369
"201";1871,97288
"202";1872,23088
"203";1872,65256
"204";1872,91838
"205";1873,34006
"206";1873,60588
"207";1874,03538
"208";1874,28556
"209";1874,71506
"210";1875,01994
"211";1875,37131
"212";1875,70744
"213";1876,06663
"214";1876,39494
"215";1876,74631
"216";1877,02775
"217";1877,41819
"218";1877,7465
"219";1878,1135
"220";1878,44181
"221";1878,81663
"222";1879,1215
"223";1879,4885
"224";1879,76213
"225";1880,16038
"226";1880,48869
"227";1880,84788
"228";1881,19181
"229";1881,54319
"230";1881,86369
"231";1882,21506
"232";1882,54338
"233";1882,91819
"234";1883,23088
"235";1883,59006
"236";1883,91838
"237";1884,27756
"238";1884,59806
"239";1884,95725
"240";1885,26213
"241";1885,65256
"242";1885,97306
"243";1886,32444
"244";1886,66056
"245";1887,03538
"246";1887,34025
"247";1887,69944
"248";1887,96525
"249";1888,38694
"250";1888,66056
"251";1889,07444
"252";1889,34806
"253";1889,76194
"254";1890,08244
"255";1890,426
"256";1890,73869
"257";1891,1135
"258";1891,44181
"259";1891,801
"260";1892,10588
"261";1892,48069
"262";1892,79338
"263";1893,16038
"264";1893,44181
"265";1893,8635
"266";1894,19181
"267";1894,54319
"268";1894,87931
"269";1895,26194
"270";1895,57463
"271";1895,94163
"272";1896,26994
"273";1896,63694
"274";1896,98088
"275";1897,31663
"276";1897,64494
"277";1898,01194
"278";1898,27775
"279";1898,69163
"280";1899,01213
"281";1899,37913
"282";1899,70744
"283";1900,06663
"284";1900,34025
"285";1900,75413
"286";1901,01994
"287";1901,41819
"288";1901,75431
