"";"x"
"1";2405,837
"2";2406,299
"3";2406,623
"4";2406,94
"5";2407,285
"6";2407,589
"7";2407,905
"8";2408,218
"9";2408,494
"10";2408,867
"11";2409,184
"12";2409,702
"13";2410,094
"14";2410,467
"15";2410,896
"16";2411,4
"17";2411,676
"18";2412,021
"19";2412,338
"20";2412,711
"21";2413,275
"22";2413,49
"23";2413,852
"24";2414,226
"25";2414,557
"26";2414,888
"27";2415,191
"28";2415,827
"29";2416,13
"30";2416,401
"31";2416,704
"32";2417,111
"33";2417,353
"34";2417,755
"35";2418,072
"36";2418,333
"37";2418,692
"38";2419,038
"39";2419,645
"40";2419,929
"41";2420,321
"42";2420,923
"43";2421,16
"44";2421,547
"45";2421,864
"46";2422,168
"47";2422,484
"48";2422,783
"49";2423,375
"50";2423,706
"51";2424,154
"52";2424,597
"53";2424,914
"54";2425,217
"55";2425,837
"56";2426,238
"57";2426,659
"58";2427,018
"59";2427,405
"60";2427,723
"61";2428,054
"62";2428,373
"63";2428,602
"64";2429,05
"65";2429,366
"66";2429,712
"67";2430,057
"68";2430,332
"69";2430,877
"70";2431,195
"71";2431,526
"72";2432,057
"73";2432,635
"74";2433,125
"75";2433,713
"76";2434,161
"77";2434,608
"78";2434,823
"79";2435,285
"80";2435,864
"81";2436,41
"82";2436,984
"83";2437,521
"84";2438,039
"85";2438,613
"86";2439,164
"87";2439,724
"88";2440,27
"89";2440,806
"90";2441,393
"91";2441,897
"92";2442,446
"93";2442,979
"94";2443,512
"95";2444,075
"96";2444,621
"97";2445,124
"98";2445,708
"99";2446,267
"100";2446,826
"101";2447,348
"102";2447,881
"103";2448,441
"104";2448,976
"105";2449,508
"106";2450,084
"107";2450,588
"108";2451,138
"109";2451,697
"110";2452,247
"111";2452,778
"112";2453,31
"113";2453,855
"114";2454,405
"115";2454,937
"116";2455,528
"117";2456,018
"118";2456,606
"119";2457,143
"120";2457,688
"121";2458,235
"122";2458,752
"123";2459,289
"124";2459,848
"125";2460,366
"126";2460,929
"127";2461,448
"128";2462,022
"129";2462,558
"130";2463,09
"131";2463,635
"132";2464,188
"133";2464,747
"134";2465,265
"135";2465,843
"136";2466,347
"137";2466,893
"138";2467,457
"139";2468,017
"140";2468,562
"141";2469,113
"142";2469,674
"143";2470,219
"144";2470,723
"145";2471,273
"146";2471,794
"147";2472,354
"148";2472,904
"149";2473,45
"150";2473,996
"151";2474,56
"152";2475,12
"153";2475,656
"154";2476,188
"155";2476,761
"156";2477,28
"157";2477,83
"158";2478,404
"159";2478,942
"160";2479,503
"161";2480,049
"162";2480,599
"163";2481,145
"164";2481,709
"165";2482,242
"166";2482,802
"167";2483,333
"168";2483,87
"169";2484,429
"170";2484,98
"171";2485,54
"172";2486,088
"173";2486,607
"174";2487,171
"175";2487,718
"176";2488,268
"177";2488,772
"178";2489,388
"179";2489,926
"180";2490,486
"181";2491,032
"182";2491,568
"183";2492,114
"184";2492,693
"185";2493,228
"186";2493,788
"187";2494,325
"188";2494,856
"189";2495,244
"190";2495,505
"191";2495,878
"192";2496,297
"193";2496,713
"194";2497,132
"195";2497,505
"196";2497,907
"197";2498,299
"198";2498,7
"199";2499,092
"200";2499,521
"201";2499,88
"202";2500,289
"203";2500,676
"204";2501,082
"205";2501,469
"206";2501,875
"207";2502,29
"208";2502,682
"209";2503,083
"210";2503,457
"211";2503,849
"212";2504,236
"213";2504,637
"214";2505,029
"215";2505,417
"216";2505,822
"217";2506,21
"218";2506,611
"219";2507,003
"220";2507,39
"221";2507,784
"222";2508,185
"223";2508,578
"224";2508,965
"225";2509,381
"226";2509,772
"227";2510,174
"228";2510,58
"229";2510,968
"230";2511,374
"231";2511,762
"232";2512,163
"233";2512,555
"234";2512,971
"235";2513,376
"236";2513,764
"237";2514,152
"238";2514,572
"239";2514,971
"240";2515,36
"241";2515,761
"242";2516,167
"243";2516,54
"244";2516,946
"245";2517,333
"246";2517,72
"247";2518,098
"248";2518,486
"249";2518,887
"250";2519,279
"251";2519,68
"252";2520,086
"253";2520,488
"254";2520,894
"255";2521,283
"256";2521,698
"257";2522,093
"258";2522,499
"259";2522,887
"260";2523,288
"261";2523,68
"262";2524,081
"263";2524,469
"264";2524,861
"265";2525,262
"266";2525,655
"267";2526,043
"268";2526,444
"269";2526,836
"270";2527,238
"271";2527,63
"272";2528,017
"273";2528,405
"274";2528,825
"275";2529,231
"276";2529,618
"277";2530,006
"278";2530,412
"279";2530,799
"280";2531,191
"281";2531,592
"282";2531,995
"283";2532,386
"284";2532,801
"285";2533,21
"286";2533,597
"287";2533,998
"288";2534,403
"289";2534,789
"290";2535,195
"291";2535,582
"292";2536,001
"293";2536,405
"294";2536,797
"295";2537,184
"296";2537,585
"297";2537,977
"298";2538,378
"299";2538,769
"300";2539,185
"301";2539,59
"302";2539,991
"303";2540,379
"304";2540,798
"305";2541,185
"306";2541,578
"307";2541,979
"308";2542,366
"309";2542,773
"310";2543,189
"311";2543,583
"312";2543,989
"313";2544,404
"314";2544,792
"315";2545,183
"316";2545,599
"317";2546,005
"318";2546,406
"319";2546,799
"320";2547,214
"321";2547,602
"322";2548,007
"323";2548,409
"324";2548,815
"325";2549,201
"326";2549,608
"327";2550,009
"328";2550,41
"329";2550,816
"330";2551,208
"331";2551,609
"332";2552,016
"333";2552,417
"334";2552,819
"335";2553,212
"336";2553,627
"337";2554,019
"338";2554,42
"339";2554,826
"340";2555,213
"341";2555,647
"342";2556,048
"343";2556,435
"344";2556,841
"345";2557,256
"346";2557,663
"347";2558,071
"348";2558,472
"349";2558,873
"350";2559,266
"351";2559,666
"352";2560,072
"353";2560,474
"354";2560,879
"355";2561,281
"356";2561,682
"357";2562,088
"358";2562,503
"359";2562,91
"360";2563,312
"361";2563,705
"362";2564,106
"363";2564,512
"364";2564,926
"365";2565,335
"366";2565,736
"367";2566,141
"368";2566,542
"369";2566,962
"370";2567,349
"371";2567,755
"372";2568,171
"373";2568,558
"374";2568,977
"375";2569,397
"376";2569,798
"377";2570,199
"378";2570,605
"379";2571,006
"380";2571,425
"381";2571,827
"382";2572,218
"383";2572,638
"384";2573,04
"385";2573,441
"386";2573,861
"387";2574,263
"388";2574,654
"389";2575,07
"390";2575,475
"391";2575,876
"392";2576,282
"393";2576,683
"394";2577,088
"395";2577,49
"396";2577,909
"397";2578,31
"398";2578,73
"399";2579,131
"400";2579,539
"401";2579,941
"402";2580,36
"403";2580,761
"404";2581,195
"405";2581,582
"406";2581,987
"407";2582,389
"408";2582,809
"409";2583,21
"410";2583,611
"411";2584,031
"412";2584,433
"413";2584,842
"414";2585,246
"415";2585,666
"416";2586,053
"417";2586,458
"418";2586,876
"419";2587,281
"420";2587,668
"421";2588,087
"422";2588,503
"423";2588,893
"424";2589,309
"425";2589,714
"426";2590,115
"427";2590,521
"428";2590,936
"429";2591,323
"430";2591,742
"431";2592,129
"432";2592,548
"433";2592,935
"434";2593,355
"435";2593,756
"436";2594,162
"437";2594,549
"438";2594,969
"439";2595,371
"440";2595,777
"441";2596,164
"442";2596,583
"443";2596,998
"444";2597,404
"445";2597,791
"446";2598,21
"447";2598,611
"448";2599,013
"449";2599,432
"450";2599,833
"451";2600,252
"452";2600,639
"453";2601,045
"454";2601,466
"455";2601,853
"456";2602,254
"457";2602,66
"458";2603,061
"459";2603,466
"460";2603,867
"461";2604,273
"462";2604,687
"463";2605,093
"464";2605,48
"465";2605,901
"466";2606,317
"467";2606,718
"468";2607,123
"469";2607,524
"470";2607,93
"471";2608,338
"472";2608,753
"473";2609,141
"474";2609,56
"475";2609,979
"476";2610,367
"477";2610,768
"478";2611,173
"479";2611,603
"480";2611,995
"481";2612,396
"482";2612,801
"483";2613,203
"484";2613,608
"485";2614,009
"486";2614,411
"487";2614,83
"488";2615,231
"489";2615,624
"490";2616,03
"491";2616,446
"492";2616,834
"493";2617,24
"494";2617,655
"495";2618,047
"496";2618,462
"497";2618,853
"498";2619,283
"499";2619,674
"500";2620,09
"501";2620,481
"502";2620,882
"503";2621,302
"504";2621,703
"505";2622,091
"506";2622,497
"507";2622,905
"508";2623,32
"509";2623,708
"510";2624,127
"511";2624,529
"512";2624,934
"513";2625,336
"514";2625,755
"515";2626,171
"516";2626,577
"517";2626,965
"518";2627,372
"519";2627,787
"520";2628,193
"521";2628,594
"522";2629
"523";2629,415
"524";2629,821
"525";2630,21
"526";2630,63
"527";2631,045
"528";2631,437
"529";2631,852
"530";2632,258
"531";2632,66
"532";2633,079
"533";2633,466
"534";2633,882
"535";2634,288
"536";2634,689
"537";2635,095
"538";2635,496
"539";2635,916
"540";2636,317
"541";2636,723
"542";2637,125
"543";2637,547
"544";2637,949
"545";2638,355
"546";2638,742
"547";2639,161
"548";2639,576
"549";2639,968
"550";2640,369
"551";2640,789
"552";2641,19
"553";2641,595
"554";2641,997
"555";2642,417
"556";2642,817
"557";2643,22
"558";2643,625
"559";2644,04
"560";2644,449
"561";2644,836
"562";2645,256
"563";2645,675
"564";2646,077
"565";2646,478
"566";2646,898
"567";2647,299
"568";2647,705
"569";2648,108
"570";2648,529
"571";2648,93
"572";2649,322
"573";2649,738
"574";2650,144
"575";2650,545
"576";2650,951
"577";2651,353
"578";2651,761
"579";2652,177
"580";2652,569
"581";2652,97
"582";2653,396
"583";2653,812
"584";2654,204
"585";2654,605
"586";2655,007
"587";2655,427
"588";2655,828
"589";2656,234
"590";2656,65
"591";2657,056
"592";2657,458
"593";2657,864
"594";2658,265
"595";2658,687
"596";2659,09
"597";2659,482
"598";2659,897
"599";2660,303
"600";2660,704
"601";2661,096
"602";2661,525
"603";2661,931
"604";2662,332
"605";2662,719
"606";2663,139
"607";2663,541
"608";2663,946
"609";2664,348
"610";2664,754
"611";2665,169
"612";2665,561
"613";2665,983
"614";2666,384
"615";2666,799
"616";2667,205
"617";2667,607
"618";2668,026
"619";2668,428
"620";2668,834
"621";2669,236
"622";2669,657
"623";2670,073
"624";2670,464
"625";2670,866
"626";2671,258
"627";2671,687
"628";2672,093
"629";2672,495
"630";2672,901
"631";2673,319
"632";2673,725
"633";2674,112
"634";2674,532
"635";2674,934
"636";2675,339
"637";2675,74
"638";2676,16
"639";2676,575
"640";2676,979
"641";2677,37
"642";2677,785
"643";2678,204
"644";2678,619
"645";2679,011
"646";2679,426
"647";2679,833
"648";2680,234
"649";2680,642
"650";2681,057
"651";2681,463
"652";2681,864
"653";2682,255
"654";2682,671
"655";2683,077
"656";2683,492
"657";2683,897
"658";2684,284
"659";2684,7
"660";2685,092
"661";2685,507
"662";2685,927
"663";2686,328
"664";2686,734
"665";2687,122
"666";2687,527
"667";2687,943
"668";2688,349
"669";2688,736
"670";2689,156
"671";2689,557
"672";2689,963
"673";2690,351
"674";2690,753
"675";2691,173
"676";2691,574
"677";2691,966
"678";2692,367
"679";2692,787
"680";2693,188
"681";2693,58
"682";2693,995
"683";2694,401
"684";2694,802
"685";2695,211
"686";2695,612
"687";2696,018
"688";2696,42
"689";2696,811
"690";2697,213
"691";2697,629
"692";2698,034
"693";2698,435
"694";2698,827
"695";2699,242
"696";2699,648
"697";2700,035
"698";2700,441
"699";2700,857
"700";2701,245
"701";2701,651
"702";2702,045
"703";2702,461
"704";2702,867
"705";2703,254
"706";2703,669
"707";2704,061
"708";2704,476
"709";2704,882
"710";2705,283
"711";2705,689
"712";2706,09
"713";2706,478
"714";2706,884
"715";2707,299
"716";2707,691
"717";2708,092
"718";2708,483
"719";2708,884
"720";2709,291
"721";2709,693
"722";2710,084
"723";2710,499
"724";2710,905
"725";2711,307
"726";2711,709
"727";2712,115
"728";2712,516
"729";2712,907
"730";2713,308
"731";2713,727
"732";2714,143
"733";2714,534
"734";2714,921
"735";2715,341
"736";2715,742
"737";2716,143
"738";2716,537
"739";2716,958
"740";2717,359
"741";2717,76
"742";2718,151
"743";2718,567
"744";2718,972
"745";2719,373
"746";2719,779
"747";2720,18
"748";2720,586
"749";2720,987
"750";2721,375
"751";2721,767
"752";2722,183
"753";2722,575
"754";2722,976
"755";2723,374
"756";2723,777
"757";2724,168
"758";2724,569
"759";2724,971
"760";2725,376
"761";2725,791
"762";2726,211
"763";2726,612
"764";2727,018
"765";2727,419
"766";2727,811
"767";2728,212
"768";2728,617
"769";2729,018
"770";2729,424
"771";2729,824
"772";2730,225
"773";2730,631
"774";2731,037
"775";2731,438
"776";2731,857
"777";2732,26
"778";2732,647
"779";2733,066
"780";2733,467
"781";2733,873
"782";2734,288
"783";2734,679
"784";2735,08
"785";2735,485
"786";2735,914
"787";2736,305
"788";2736,706
"789";2737,112
"790";2737,513
"791";2737,914
"792";2738,322
"793";2738,727
"794";2739,115
"795";2739,53
"796";2739,935
"797";2740,336
"798";2740,741
"799";2741,143
"800";2741,548
"801";2741,963
"802";2742,355
"803";2742,77
"804";2743,158
"805";2743,577
"806";2743,978
"807";2744,384
"808";2744,785
"809";2745,191
"810";2745,58
"811";2746
"812";2746,401
"813";2746,806
"814";2747,222
"815";2747,613
"816";2748,014
"817";2748,406
"818";2748,807
"819";2749,208
"820";2749,628
"821";2750,03
"822";2750,435
"823";2750,836
"824";2751,228
"825";2751,643
"826";2752,034
"827";2752,435
"828";2752,829
"829";2753,231
"830";2753,637
"831";2754,052
"832";2754,457
"833";2754,831
"834";2755,247
"835";2755,652
"836";2756,067
"837";2756,473
"838";2756,875
"839";2757,294
"840";2757,681
"841";2758,087
"842";2758,488
"843";2758,908
"844";2759,309
"845";2759,702
"846";2760,104
"847";2760,524
"848";2760,925
"849";2761,312
"850";2761,732
"851";2762,152
"852";2762,538
"853";2762,94
"854";2763,332
"855";2763,747
"856";2764,153
"857";2764,541
"858";2764,946
"859";2765,361
"860";2765,749
"861";2766,155
"862";2766,556
"863";2766,964
"864";2767,366
"865";2767,757
"866";2768,158
"867";2768,564
"868";2768,966
"869";2769,371
"870";2769,772
"871";2770,16
"872";2770,565
"873";2770,981
"874";2771,373
