"";"x"
"1";1750,1975
"2";1751,21375
"3";1751,75219
"4";1752,245
"5";1752,74438
"6";1753,25281
"7";1753,75219
"8";1754,29188
"9";1754,81469
"10";1755,37
"11";1755,89281
"12";1756,42469
"13";1756,93188
"14";1757,47156
"15";1758,00219
"16";1758,56531
"17";1759,10375
"18";1759,65906
"19";1760,18969
"20";1760,75281
"21";1761,28344
"22";1761,84656
"23";1762,37719
"24";1762,88563
"25";1763,46313
"26";1764,02625
"27";1764,54125
"28";1765,11219
"29";1765,65063
"30";1766,22156
"31";1766,75219
"32";1767,26844
"33";1767,86156
"34";1768,42469
"35";1768,96313
"36";1769,54969
"37";1770,08813
"38";1770,65906
"39";1771,1975
"40";1771,75281
"41";1772,27563
"42";1772,81531
"43";1773,34594
"44";1773,90125
"45";1774,41625
"46";1774,995
"47";1775,51781
"48";1776,07313
"49";1776,61156
"50";1777,15906
"51";1777,68969
"52";1778,26063
"53";1778,79906
"54";1779,37
"55";1779,89281
"56";1780,40906
"57";1781,01
"58";1781,58094
"59";1782,11938
"60";1782,69813
"61";1783,24438
"62";1783,83875
"63";1784,37719
"64";1784,94031
"65";1785,47875
"66";1786,0575
"67";1786,58813
"68";1787,15125
"69";1787,68969
"70";1788,25281
"71";1788,79906
"72";1789,37781
"73";1789,90063
"74";1790,47938
"75";1791,02563
"76";1791,59656
"77";1792,135
"78";1792,69813
"79";1793,24438
"80";1793,79969
"81";1794,3225
"82";1794,87781
"83";1795,40063
"84";1795,97156
"85";1796,51781
"86";1797,08094
"87";1797,61938
"88";1798,1825
"89";1798,72094
"90";1799,29188
"91";1799,83031
"92";1800,40906
"93";1800,9475
"94";1801,51844
"95";1802,04906
"96";1802,62781
"97";1803,15063
"98";1803,70594
"99";1804,24438
"100";1804,78406
"101";1805,30688
"102";1805,86219
"103";1806,385
"104";1806,92469
"105";1807,46313
"106";1808,03406
"107";1808,55688
"108";1809,12781
"109";1809,65844
"110";1810,16688
"111";1810,635
"112";1811,07313
"113";1811,49438
"114";1811,90906
"115";1812,3225
"116";1812,78406
"117";1813,16625
"118";1813,61219
"119";1813,97875
"120";1814,45594
"121";1814,83031
"122";1815,3075
"123";1815,66625
"124";1816,14344
"125";1816,54125
"126";1816,97156
"127";1817,39281
"128";1817,82313
"129";1818,22094
"130";1818,65906
"131";1819,04906
"132";1819,495
"133";1819,85375
"134";1820,33094
"135";1820,72875
"136";1821,16688
"137";1821,56469
"138";1821,98719
"139";1822,37719
"140";1822,8075
"141";1823,20531
"142";1823,64344
"143";1824,04906
"144";1824,50281
"145";1824,89281
"146";1825,36219
"147";1825,77563
"148";1826,22156
"149";1826,59594
"150";1827,08875
"151";1827,47094
"152";1827,89344
"153";1828,28344
"154";1828,72156
"155";1829,09594
"156";1829,54188
"157";1829,90063
"158";1830,35438
"159";1830,72875
"160";1831,19031
"161";1831,58813
"162";1832,02625
"163";1832,42406
"164";1832,86219
"165";1833,27563
"166";1833,69031
"167";1834,10375
"168";1834,51063
"169";1834,90063
"170";1835,33094
"171";1835,73656
"172";1836,15906
"173";1836,54906
"174";1836,98719
"175";1837,36938
"176";1837,81531
"177";1838,22094
"178";1838,67469
"179";1839,06469
"180";1839,51844
"181";1839,885
"182";1840,32313
"183";1840,71313
"184";1841,14344
"185";1841,54125
"186";1841,97156
"187";1842,34594
"188";1842,76844
"189";1843,15063
"190";1843,57313
"191";1843,95531
"192";1844,37781
"193";1844,77563
"194";1845,21375
"195";1845,62719
"196";1846,02625
"197";1846,36938
"198";1846,83094
"199";1847,21313
"200";1847,65125
"201";1848,02563
"202";1848,44813
"203";1848,85375
"204";1849,29969
"205";1849,66625
"206";1850,12781
"207";1850,49438
"208";1850,94031
"209";1851,33031
"210";1851,77625
"211";1852,17406
"212";1852,59656
"213";1852,95531
"214";1853,41688
"215";1853,79906
"216";1854,25281
"217";1854,65844
"218";1855,11219
"219";1855,52563
"220";1855,97156
"221";1856,36938
"222";1856,8075
"223";1857,21313
"224";1857,64344
"225";1858,0725
"226";1858,495
"227";1858,90844
"228";1859,37781
"229";1859,76
"230";1860,19813
"231";1860,61156
"232";1861,04188
"233";1861,46313
"234";1861,90906
"235";1862,28344
"236";1862,73719
"237";1863,135
"238";1863,58094
"239";1863,98656
