"";"x"
"1";1185,42963
"2";1186,27413
"3";1186,64838
"4";1187,07881
"5";1187,42181
"6";1187,946
"7";1188,39056
"8";1188,84444
"9";1189,32806
"10";1189,821
"11";1190,27338
"12";1190,76631
"13";1191,24994
"14";1191,696
"15";1192,17181
"16";1192,66475
"17";1193,164
"18";1193,65694
"19";1194,11713
"20";1194,61788
"21";1195,1015
"22";1195,61006
"23";1196,07806
"24";1196,58663
"25";1197,039
"26";1197,53975
"27";1197,99994
"28";1198,5085
"29";1198,96088
"30";1199,46163
"31";1199,92181
"32";1200,39913
"33";1200,90619
"34";1201,41475
"35";1201,86713
"36";1202,3835
"37";1202,8515
"38";1203,36006
"39";1203,81244
"40";1204,32881
"41";1204,80463
"42";1205,30538
"43";1205,78119
"44";1206,29756
"45";1206,77338
"46";1207,26631
"47";1207,77338
"48";1208,28194
"49";1208,70306
"50";1209,22725
"51";1209,75775
"52";1210,28194
"53";1210,74213
"54";1211,25069
"55";1211,76556
"56";1212,26631
"57";1212,74994
"58";1213,26631
"59";1213,74994
"60";1214,26631
"61";1214,74213
"62";1215,25069
"63";1215,70306
"64";1216,24288
"65";1216,74994
"66";1217,21944
"67";1217,73431
"68";1218,26631
"69";1218,74213
"70";1219,26631
"71";1219,74994
"72";1220,26631
"73";1220,76556
"74";1221,28194
"75";1221,789
"76";1222,31319
"77";1222,79681
"78";1223,29756
"79";1223,76556
"80";1224,26631
"81";1224,7265
"82";1225,24288
"83";1225,7265
"84";1226,25069
"85";1226,74213
"86";1227,26631
"87";1227,75775
"88";1228,27413
"89";1228,75775
"90";1229,27413
"91";1229,78119
"92";1230,28975
"93";1230,79681
"94";1231,27413
"95";1231,80463
"96";1232,321
"97";1232,80463
"98";1233,28194
"99";1233,75775
"100";1234,27413
"101";1234,74213
"102";1235,24288
"103";1235,71869
"104";1236,21944
"105";1236,71088
"106";1237,22725
"107";1237,71869
"108";1238,23506
"109";1238,71869
"110";1239,22725
"111";1239,71869
"112";1240,23506
"113";1240,73431
"114";1241,27413
"115";1241,77338
"116";1242,28194
"117";1242,78119
"118";1243,30538
"119";1243,80463
"120";1244,321
"121";1244,82806
"122";1245,32881
"123";1245,789
"124";1246,12569
"125";1246,50775
"126";1246,79756
"127";1247,19525
"128";1247,54756
"129";1247,914
"130";1248,2585
"131";1248,60931
"132";1249,00069
"133";1249,31244
"134";1249,696
"135";1250,02338
"136";1250,32881
"137";1250,68744
"138";1251,06319
"139";1251,38275
"140";1251,74288
"141";1252,09369
"142";1252,446
"143";1252,81244
"144";1253,17256
"145";1253,50775
"146";1253,89131
"147";1254,2265
"148";1254,57881
"149";1254,95306
"150";1255,34444
"151";1255,65619
"152";1256,0085
"153";1256,35931
"154";1256,76631
"155";1257,07025
"156";1257,47725
"157";1257,79681
"158";1258,21163
"159";1258,50775
"160";1258,93038
"161";1259,24213
"162";1259,65694
"163";1260,01556
"164";1260,3835
"165";1260,69525
"166";1261,04756
"167";1261,39838
"168";1261,76631
"169";1262,13275
"170";1262,54756
"171";1262,85931
"172";1263,27413
"173";1263,56244
"174";1263,99288
"175";1264,31244
"176";1264,72725
"177";1265,05463
"178";1265,46944
"179";1265,81244
"180";1266,21944
"181";1266,539
"182";1266,92256
"183";1267,26556
"184";1267,62569
"185";1268,039
"186";1268,42256
"187";1268,789
"188";1269,11006
"189";1269,48431
"190";1269,80538
"191";1270,20306
"192";1270,58663
"193";1270,90619
"194";1271,2585
"195";1271,63275
"196";1272,01631
"197";1272,36713
"198";1272,696
"199";1273,04681
"200";1273,39131
"201";1273,74994
"202";1274,11788
"203";1274,539
"204";1274,85225
"205";1275,2265
"206";1275,64131
"207";1275,96088
"208";1276,31319
"209";1276,74213
"210";1277,10225
"211";1277,42181
"212";1277,83663
"213";1278,164
"214";1278,55538
"215";1278,88275
"216";1279,21944
"217";1279,61713
"218";1279,97725
"219";1280,29681
"220";1280,64913
"221";1281,01556
"222";1281,36788
"223";1281,71869
"224";1282,09444
"225";1282,40619
"226";1282,74288
"227";1283,17963
"228";1283,53975
"229";1283,85931
"230";1284,2585
"231";1284,57806
"232";1284,97725
"233";1285,32025
"234";1285,64131
"235";1286,02338
"236";1286,41475
"237";1286,75775
"238";1287,07881
"239";1287,42181
"240";1287,77413
"241";1288,13275
"242";1288,48506
"243";1288,85931
"244";1289,21944
"245";1289,52338
"246";1289,89131
"247";1290,17181
"248";1290,52413
"249";1290,85931
"250";1291,20381
"251";1291,58588
"252";1291,946
"253";1292,26556
"254";1292,61788
"255";1292,99213
"256";1293,33663
"257";1293,64056
"258";1293,99288
"259";1294,40619
"260";1294,696
"261";1295,05463
"262";1295,46944
"263";1295,77338
"264";1296,14131
"265";1296,51556
"266";1296,90694
"267";1297,21088
"268";1297,60225
"269";1297,90619
"270";1298,24288
"271";1298,62494
"272";1298,99288
"273";1299,3515
"274";1299,70381
"275";1300,13275
"276";1300,46163
"277";1300,88275
"278";1301,2585
"279";1301,61713
"280";1301,98506
"281";1302,289
"282";1302,68819
"283";1303,01556
"284";1303,39913
"285";1303,71088
"286";1304,11006
"287";1304,42181
"288";1304,79756
"289";1305,14838
"290";1305,52413
"291";1305,86713
"292";1306,21944
"293";1306,59369
"294";1306,96944
"295";1307,32025
"296";1307,64913
"297";1308,04681
"298";1308,36006
"299";1308,7265
"300";1309,14131
"301";1309,49994
"302";1309,821
"303";1310,17963
"304";1310,54756
"305";1310,88275
"306";1311,22725
"307";1311,6015
"308";1312,0085
"309";1312,3515
"310";1312,70381
"311";1313,05463
"312";1313,45381
"313";1313,81244
"314";1314,18038
"315";1314,49994
"316";1314,86788
"317";1315,24213
"318";1315,60225
"319";1315,99994
"320";1316,37569
"321";1316,68744
"322";1317,04756
"323";1317,42181
"324";1317,79756
"325";1318,15619
"326";1318,571
"327";1318,92963
"328";1319,29756
"329";1319,65619
"330";1320,00069
"331";1320,33588
"332";1320,7585
"333";1321,07025
"334";1321,43038
"335";1321,789
"336";1322,16475
"337";1322,51556
"338";1322,87569
"339";1323,23431
"340";1323,58663
"341";1323,96088
"342";1324,27413
"343";1324,69525
"344";1325,01631
"345";1325,38275
"346";1325,78975
"347";1326,10931
"348";1326,48506
"349";1326,84369
"350";1327,20381
"351";1327,58588
"352";1327,96163
"353";1328,32025
"354";1328,68819
"355";1329,07806
"356";1329,45381
"357";1329,76556
"358";1330,1335
"359";1330,49213
"360";1330,86006
"361";1331,2265
"362";1331,59444
"363";1331,96088
"364";1332,321
"365";1332,67963
"366";1333,05538
"367";1333,45306
"368";1333,78194
"369";1334,15619
"370";1334,53975
"371";1334,92963
"372";1335,28975
"373";1335,67181
"374";1336,01631
"375";1336,36713
"376";1336,74288
"377";1337,13275
"378";1337,55538
"379";1337,88275
"380";1338,2585
"381";1338,664
"382";1339,03975
"383";1339,37494
"384";1339,79756
"385";1340,12494
"386";1340,5085
"387";1340,85931
"388";1341,2585
"389";1341,63275
"390";1342,00069
"391";1342,3515
"392";1342,75069
"393";1343,07025
"394";1343,50069
"395";1343,86713
"396";1344,196
"397";1344,57025
"398";1344,946
"399";1345,34369
"400";1345,68819
"401";1346,03119
"402";1346,40694
"403";1346,789
"404";1347,21944
"405";1347,57025
