"";"x"
"1";1640,981
"2";1641,341
"3";1641,873
"4";1642,32
"5";1642,665
"6";1643,141
"7";1643,644
"8";1644,236
"9";1644,652
"10";1644,94
"11";1645,458
"12";1645,831
"13";1646,162
"14";1646,682
"15";1647,13
"16";1647,488
"17";1647,993
"18";1648,412
"19";1648,757
"20";1649,219
"21";1649,765
"22";1650,316
"23";1650,689
"24";1651,122
"25";1651,323
"26";1651,71
"27";1652,102
"28";1652,591
"29";1653,31
"30";1653,816
"31";1654,408
"32";1654,725
"33";1655,043
"34";1655,471
"35";1655,817
"36";1656,265
"37";1656,623
"38";1657,188
"39";1657,804
"40";1658,163
"41";1658,438
"42";1659,059
"43";1659,418
"44";1660,024
"45";1660,328
"46";1660,905
"47";1661,353
"48";1661,74
"49";1662,09
"50";1662,533
"51";1662,809
"52";1663,14
"53";1663,513
"54";1663,891
"55";1664,307
"56";1664,698
"57";1665,072
"58";1665,506
"59";1665,977
"60";1666,495
"61";1666,915
"62";1667,189
"63";1667,651
"64";1667,965
"65";1668,427
"66";1668,819
"67";1669,103
"68";1669,495
"69";1669,984
"70";1670,442
"71";1670,951
"72";1671,282
"73";1671,697
"74";1672,145
"75";1672,663
"76";1673,124
"77";1673,554
"78";1674,072
"79";1674,562
"80";1675,016
"81";1675,488
"82";1675,936
"83";1676,426
"84";1676,86
"85";1677,35
"86";1677,807
"87";1678,297
"88";1678,759
"89";1679,479
"90";1679,698
"91";1680,188
"92";1680,664
"93";1681,121
"94";1681,598
"95";1682,004
"96";1682,524
"97";1683,014
"98";1683,462
"99";1683,966
"100";1684,4
"101";1684,904
"102";1685,38
"103";1685,883
"104";1686,327
"105";1686,831
"106";1687,278
"107";1687,927
"108";1688,244
"109";1688,734
"110";1689,224
"111";1689,729
"112";1690,177
"113";1690,681
"114";1691,134
"115";1691,639
"116";1692,102
"117";1692,592
"118";1693,035
"119";1693,511
"120";1693,987
"121";1694,477
"122";1694,924
"123";1695,415
"124";1695,891
"125";1696,395
"126";1696,86
"127";1697,364
"128";1697,826
"129";1698,33
"130";1698,806
"131";1699,324
"132";1699,782
"133";1700,304
"134";1700,761
"135";1701,266
"136";1701,728
"137";1702,232
"138";1702,723
"139";1703,227
"140";1703,675
"141";1704,198
"142";1704,669
"143";1705,066
"144";1706,154
"145";1707,475
"146";1708,465
"147";1709,395
"148";1710,454
"149";1711,363
"150";1712,51
"151";1713,011
"152";1713,501
"153";1713,976
"154";1714,451
"155";1714,969
"156";1715,45
"157";1715,954
"158";1716,429
"159";1716,918
"160";1717,404
"161";1717,928
"162";1718,399
"163";1718,903
"164";1719,364
"165";1719,868
"166";1720,357
"167";1720,875
"168";1721,351
"169";1721,84
"170";1722,316
"171";1722,839
"172";1723,329
