"";"Time";"exp";"insp";"idx"
"1";2656,665;1;0;6
"2";2657,915;0;1;31
"3";2658,865;1;0;50
"4";2660,115;0;1;75
"5";2661,215;1;0;97
"6";2662,815;0;1;129
"7";2663,215;1;0;137
"8";2664,165;0;1;156
"9";2665,465;1;0;182
"10";2666,965;0;1;212
"11";2668,015;1;0;233
"12";2669,365;0;1;260
"13";2670,565;1;0;284
"14";2671,865;0;1;310
"15";2673,065;1;0;334
"16";2674,365;0;1;360
"17";2675,265;1;0;378
"18";2676,615;0;1;405
"19";2677,465;1;0;422
"20";2678,765;0;1;448
"21";2679,715;1;0;467
"22";2681,215;0;1;497
"23";2682,215;1;0;517
"24";2683,615;0;1;545
"25";2684,665;1;0;566
"26";2685,815;0;1;589
"27";2686,615;1;0;605
"28";2688,065;0;1;634
"29";2688,915;1;0;651
"30";2689,765;0;1;668
"31";2690,465;1;0;682
"32";2691,065;0;1;694
"33";2691,465;1;0;702
"34";2691,865;0;1;710
"35";2692,715;1;0;727
"36";2693,715;0;1;747
"37";2694,565;1;0;764
"38";2695,365;0;1;780
"39";2695,615;1;0;785
"40";2696,665;0;1;806
"41";2698,165;1;0;836
"42";2699,565;0;1;864
"43";2700,515;1;0;883
"44";2701,465;0;1;902
"45";2702,365;1;0;920
"46";2703,315;0;1;939
"47";2704,165;1;0;956
"48";2705,015;0;1;973
"49";2705,865;1;0;990
"50";2706,715;0;1;1007
"51";2707,565;1;0;1024
"52";2708,615;0;1;1045
"53";2709,465;1;0;1062
"54";2710,365;0;1;1080
"55";2711,215;1;0;1097
"56";2712,215;0;1;1117
"57";2713,065;1;0;1134
"58";2714,165;0;1;1156
"59";2715,115;1;0;1175
"60";2716,215;0;1;1197
"61";2716,965;1;0;1212
"62";2717,915;0;1;1231
"63";2718,665;1;0;1246
"64";2719,815;0;1;1269
"65";2720,665;1;0;1286
"66";2721,765;0;1;1308
"67";2722,615;1;0;1325
"68";2723,615;0;1;1345
"69";2724,165;1;0;1356
"70";2724,915;0;1;1371
"71";2725,715;1;0;1387
"72";2726,565;0;1;1404
"73";2727,465;1;0;1422
"74";2728,065;0;1;1434
"75";2728,915;1;0;1451
"76";2730,315;0;1;1479
"77";2730,465;1;0;1482
"78";2731,215;0;1;1497
"79";2732,015;1;0;1513
"80";2732,865;0;1;1530
"81";2733,815;1;0;1549
"82";2734,965;0;1;1572
"83";2735,865;1;0;1590
"84";2736,915;0;1;1611
"85";2737,815;1;0;1629
"86";2738,865;0;1;1650
"87";2739,665;1;0;1666
"88";2740,665;0;1;1686
"89";2741,465;1;0;1702
"90";2742,565;0;1;1724
"91";2743,415;1;0;1741
"92";2744,565;0;1;1764
"93";2745,465;1;0;1782
"94";2746,565;0;1;1804
"95";2747,315;1;0;1819
"96";2748,215;0;1;1837
"97";2749,015;1;0;1853
"98";2749,565;0;1;1864
"99";2750,015;1;0;1873
"100";2750,565;0;1;1884
"101";2751,115;1;0;1895
"102";2751,865;0;1;1910
"103";2752,715;1;0;1927
"104";2753,715;0;1;1947
"105";2754,565;1;0;1964
"106";2755,465;0;1;1982
"107";2756,115;1;0;1995
"108";2756,915;0;1;2011
"109";2757,665;1;0;2026
"110";2758,465;0;1;2042
"111";2759,215;1;0;2057
"112";2759,865;0;1;2070
"113";2760,815;1;0;2089
"114";2761,965;0;1;2112
"115";2763,015;1;0;2133
"116";2764,165;0;1;2156
"117";2765,215;1;0;2177
"118";2766,365;0;1;2200
