"";"Time";"exp";"insp";"idx"
"1";2656,452;0;1;6
"1158";2659,578;1;0;223
"2";2660,498;0;1;287
"1159";2662,227;1;0;407
"3";2662,988;0;1;460
"1160";2663,45;1;0;492
"4";2663,939;0;1;526
"1161";2664,834;1;0;588
"5";2666,175;0;1;681
"1162";2668,223;1;0;823
"6";2670,528;0;1;983
"1163";2671,983;1;0;1084
"7";2673,887;0;1;1216
"1164";2675,744;1;0;1345
"8";2677,128;0;1;1441
"1165";2678,177;1;0;1514
"9";2681,239;0;1;1727
"1166";2682,238;1;0;1797
"10";2683,824;0;1;1908
"1167";2684,396;1;0;1948
"11";2685,78;0;1;2045
"1168";2686,97;1;0;2128
"12";2687,721;0;1;2180
"1169";2688,756;1;0;2252
"13";2689,622;0;1;2312
"1170";2690,976;1;0;2406
"14";2692,026;0;1;2479
"1171";2693,033;1;0;2549
"15";2693,695;0;1;2595
"1172";2696,102;1;0;2762
"16";2697,73;0;1;2875
"1173";2698,681;1;0;2941
"17";2699,414;0;1;2992
"1174";2700,033;1;0;3035
"18";2700,598;0;1;3074
"1175";2701,464;1;0;3134
"19";2702,052;0;1;3175
"1176";2702,961;1;0;3238
"20";2703,521;0;1;3277
"1177";2704,215;1;0;3325
"21";2705,525;0;1;3416
"1178";2706,127;1;0;3458
"22";2706,663;0;1;3495
"1179";2707,064;1;0;3523
"23";2707,973;0;1;3586
"1180";2708,851;1;0;3647
"24";2709,527;0;1;3694
"1181";2710,106;1;0;3734
"25";2711,011;0;1;3797
"1182";2712,742;1;0;3917
"26";2713,648;0;1;3980
"1183";2714,529;1;0;4041
"27";2714,944;0;1;4070
"1184";2715,536;1;0;4111
"28";2716,616;0;1;4186
"1185";2717,036;1;0;4215
"29";2717,899;0;1;4275
"1186";2718,706;1;0;4331
"30";2719,383;0;1;4378
"1187";2720,204;1;0;4435
"31";2720,88;0;1;4482
"1188";2721,765;1;0;4543
"32";2722,036;0;1;4562
"1189";2722,774;1;0;4613
"33";2723,929;0;1;4693
"1190";2724,75;1;0;4750
"34";2725,659;0;1;4813
"1191";2726,682;1;0;4884
"35";2727,601;0;1;4948
"1192";2728,641;1;0;5020
"36";2730,5;0;1;5149
"1193";2730,976;1;0;5182
"37";2731,928;0;1;5248
"1194";2732,695;1;0;5301
"38";2733,889;0;1;5384
"1195";2735,545;1;0;5499
"39";2736,552;0;1;5569
"1196";2737,852;1;0;5659
"40";2738,603;0;1;5711
"1197";2740,026;1;0;5810
"41";2741,855;0;1;5937
"1198";2743,676;1;0;6063
"42";2745,088;0;1;6161
"1199";2747,152;1;0;6304
"43";2747,973;0;1;6361
"1200";2749,383;1;0;6459
"44";2750,335;0;1;6525
"1201";2751,231;1;0;6587
"45";2752,63;0;1;6684
"1202";2753,685;1;0;6757
"46";2753,97;0;1;6777
"1203";2754,764;1;0;6832
"47";2755,528;0;1;6885
"1204";2756,48;1;0;6951
"48";2757,087;0;1;6993
"1205";2757,89;1;0;7049
"49";2758,538;0;1;7094
"1206";2759,191;1;0;7139
"50";2759,998;0;1;7195
"1207";2760,516;1;0;7231
"51";2761,253;0;1;7282
"1208";2762,032;1;0;7336
"52";2762,882;0;1;7395
"1209";2763,676;1;0;7450
"53";2764,326;0;1;7495
"1210";2765,19;1;0;7555
"54";2766,436;0;1;7641
"1211";2767,257;1;0;7698
"1212";2768,611;1;0;7792
"55";2769,13;0;1;7828
"1213";2770,496;1;0;7923
"56";2772,428;0;1;8055
"1214";2773,423;1;0;8124
"57";2774,216;0;1;8179
"1215";2774,631;1;0;8208
"58";2775,425;0;1;8263
"1216";2776,418;1;0;8332
"59";2777,182;0;1;8385
"1217";2777,513;1;0;8408
"60";2778,39;0;1;8469
"1218";2779,085;1;0;8517
"61";2779,79;0;1;8566
"1219";2780,573;1;0;8620
"62";2781,366;0;1;8675
"1220";2781,968;1;0;8717
"63";2782,775;0;1;8773
"1221";2783,251;1;0;8806
"64";2784,002;0;1;8858
"1222";2784,735;1;0;8909
"65";2785,646;0;1;8972
"1223";2787,634;1;0;9110
"66";2788,718;0;1;9185
"1224";2790,234;1;0;9290
"67";2791,634;0;1;9387
"1225";2792,227;1;0;9428
"68";2793,118;0;1;9490
"1226";2793,827;1;0;9539
"69";2794,186;0;1;9564
"1227";2795,064;1;0;9625
"70";2795,845;0;1;9679
"1228";2797,903;1;0;9822
"71";2798,523;0;1;9865
