"";"Time";"exp";"insp";"idx"
"1";2386,657;1;0;9
"2";2389,507;0;1;66
"3";2390,257;1;0;81
"4";2391,607;0;1;108
"5";2392,607;1;0;128
"6";2394,357;0;1;163
"7";2395,407;1;0;184
"8";2396,657;0;1;209
"9";2397,907;1;0;234
"10";2399,807;0;1;272
"11";2401,057;1;0;297
"12";2403,007;0;1;336
"13";2404,807;1;0;372
"14";2406,407;0;1;404
"15";2408,007;1;0;436
"16";2410,107;0;1;478
"17";2411,107;1;0;498
"18";2413,707;0;1;550
"19";2414,657;1;0;569
"20";2416,257;0;1;601
"21";2417,157;1;0;619
"22";2418,507;0;1;646
"23";2419,207;1;0;660
"24";2420,007;0;1;676
"25";2420,707;1;0;690
"26";2421,557;0;1;707
"27";2422,357;1;0;723
"28";2423,257;0;1;741
"29";2424,007;1;0;756
"30";2424,857;0;1;773
"31";2425,707;1;0;790
"32";2426,707;0;1;810
"33";2427,507;1;0;826
"34";2428,407;0;1;844
"35";2429,057;1;0;857
"36";2429,457;0;1;865
"37";2430,157;1;0;879
"38";2431,307;0;1;902
"39";2432,107;1;0;918
"40";2433,157;0;1;939
"41";2434,157;1;0;959
"42";2435,357;0;1;983
"43";2436,157;1;0;999
"44";2437,257;0;1;1021
"45";2438,007;1;0;1036
"46";2439,007;0;1;1056
"47";2439,807;1;0;1072
"48";2440,557;0;1;1087
"49";2441,307;1;0;1102
"50";2442,157;0;1;1119
"51";2442,957;1;0;1135
"52";2443,957;0;1;1155
"53";2444,707;1;0;1170
"54";2445,607;0;1;1188
"55";2446,407;1;0;1204
"56";2447,157;0;1;1219
"57";2448,007;1;0;1236
"58";2448,857;0;1;1253
"59";2449,657;1;0;1269
"60";2450,607;0;1;1288
"61";2451,507;1;0;1306
"62";2452,557;0;1;1327
"63";2453,407;1;0;1344
"64";2454,307;0;1;1362
"65";2455,907;1;0;1394
"66";2457,607;0;1;1428
"67";2458,407;1;0;1444
"68";2459,357;0;1;1463
"69";2460,207;1;0;1480
"70";2461,207;0;1;1500
"71";2462,007;1;0;1516
"72";2462,757;0;1;1531
"73";2463,507;1;0;1546
"74";2464,457;0;1;1565
"75";2465,307;1;0;1582
"76";2466,307;0;1;1602
"77";2467,257;1;0;1621
"78";2468,157;0;1;1639
"79";2469,057;1;0;1657
"80";2470,207;0;1;1680
"81";2470,957;1;0;1695
"82";2471,957;0;1;1715
"83";2472,807;1;0;1732
"84";2473,707;0;1;1750
"85";2474,607;1;0;1768
"86";2475,607;0;1;1788
"87";2476,407;1;0;1804
"88";2477,207;0;1;1820
"89";2477,957;1;0;1835
"90";2478,757;0;1;1851
"91";2479,407;1;0;1864
"92";2480,107;0;1;1878
"93";2481,457;1;0;1905
"94";2482,407;0;1;1924
