"";"Time";"exp";"insp";"idx"
"103";2616,362;0;1;14622
"1269";2617,151;1;0;14677
"104";2617,93;0;1;14731
"1270";2618,737;1;0;14787
"105";2619,558;0;1;14844
"1271";2620,336;1;0;14898
"106";2621,186;0;1;14957
"1272";2621,965;1;0;15011
"107";2622,774;0;1;15067
"1273";2623,549;1;0;15121
"108";2624,431;0;1;15182
"1274";2625,238;1;0;15238
"109";2626,045;0;1;15294
"1275";2626,867;1;0;15351
"110";2627,689;0;1;15408
"1276";2628,51;1;0;15465
"111";2629,257;0;1;15517
"1277";2630,14;1;0;15578
"112";2631,045;0;1;15641
"1278";2631,754;1;0;15690
"113";2632,632;0;1;15751
"1279";2633,48;1;0;15810
"114";2634,013;0;1;15847
"1280";2634,978;1;0;15914
"115";2635,828;0;1;15973
"1281";2636,593;1;0;16026
"116";2637,519;0;1;16090
"1282";2638,327;1;0;16146
"117";2639,119;0;1;16201
"1283";2639,922;1;0;16257
"118";2640,672;0;1;16309
"1284";2641,437;1;0;16362
"119";2642,314;0;1;16423
"1285";2643,191;1;0;16484
"120";2643,984;0;1;16539
"1286";2644,71;1;0;16589
"121";2645,573;0;1;16649
"1287";2646,394;1;0;16706
"122";2647,173;0;1;16760
"1288";2648,08;1;0;16823
"123";2648,874;0;1;16878
"1289";2649,607;1;0;16929
"124";2650,317;0;1;16978
"1290";2651,194;1;0;17039
"125";2652,223;0;1;17110
"1291";2653,012;1;0;17165
"126";2653,728;0;1;17214
"1292";2654,549;1;0;17271
"127";2655,268;0;1;17321
"1293";2656,09;1;0;17378
"128";2656,968;0;1;17439
"1294";2657,775;1;0;17495
"129";2658,584;0;1;17551
"1295";2659,337;1;0;17603
"130";2660,144;0;1;17659
"1296";2660,923;1;0;17713
"131";2661,828;0;1;17776
"1297";2662,593;1;0;17829
"132";2663,415;0;1;17886
"1298";2664,278;1;0;17946
"133";2665,099;0;1;18003
"1299";2665,832;1;0;18054
"134";2666,673;0;1;18112
"1300";2667,536;1;0;18172
"135";2668,302;0;1;18225
"1301";2669,124;1;0;18282
"136";2669,914;0;1;18337
"1302";2671,011;1;0;18413
"137";2671,888;0;1;18474
"1303";2672,205;1;0;18496
"138";2673,291;0;1;18571
"1304";2673,968;1;0;18618
"139";2674,733;0;1;18671
"1305";2675,609;1;0;18732
"140";2676,402;0;1;18787
"1306";2677,137;1;0;18836
"141";2678,088;0;1;18902
"1307";2679,039;1;0;18968
"142";2679,674;0;1;19012
"1308";2680,526;1;0;19071
"143";2681,403;0;1;19132
"1309";2682,195;1;0;19187
"144";2682,96;0;1;19240
"1310";2683,795;1;0;19298
"145";2684,686;0;1;19360
"1311";2685,367;1;0;19407
"146";2686,156;0;1;19462
"1312";2687,136;1;0;19530
"147";2687,961;0;1;19587
"1313";2688,908;1;0;19653
"148";2689,744;0;1;19711
"1314";2690,567;1;0;19768
"149";2691,402;0;1;19826
"1315";2692,209;1;0;19882
"150";2692,959;0;1;19934
"1316";2693,767;1;0;19990
"151";2694,513;0;1;20042
"1317";2695,425;1;0;20105
"152";2696,247;0;1;20162
"1318";2697,068;1;0;20219
"153";2697,759;0;1;20267
"1319";2698,696;1;0;20332
"154";2699,489;0;1;20387
"1320";2700,338;1;0;20446
"155";2700,857;0;1;20482
"1321";2701,754;1;0;20544
"156";2702,764;0;1;20614
"1322";2703,543;1;0;20668
"157";2704,262;0;1;20718
"1323";2705,11;1;0;20777
"158";2705,801;0;1;20825
"1324";2706,669;1;0;20885
"159";2707,416;0;1;20937
"1325";2708,381;1;0;21004
"160";2709,263;0;1;21065
"1326";2710,051;1;0;21120
"161";2710,746;0;1;21168
"1327";2711,583;1;0;21226
"162";2712,231;0;1;21271
"1328";2713,094;1;0;21331
"163";2713,97;0;1;21392
"1329";2714,833;1;0;21452
"164";2715,467;0;1;21496
"1330";2716,348;1;0;21557
"165";2717,07;0;1;21607
"1331";2718,049;1;0;21675
"166";2719,303;0;1;21762
"1332";2720,381;1;0;21837
"167";2720,73;0;1;21861
"1333";2722,039;1;0;21952
"168";2723,123;0;1;22027
"1334";2724,309;1;0;22109
"169";2725,446;0;1;22188
"1335";2726,01;1;0;22227
"170";2726,818;0;1;22283
"1336";2727,853;1;0;22355
"171";2728,659;0;1;22411
"1337";2729,349;1;0;22459
"172";2730,155;0;1;22515
"1338";2730,991;1;0;22573
"173";2731,755;0;1;22626
"1339";2732,59;1;0;22684
"174";2733,397;0;1;22740
"1340";2734,288;1;0;22802
"175";2735,224;0;1;22867
"1341";2735,886;1;0;22913
"176";2736,576;0;1;22961
"1342";2737,369;1;0;23016
"177";2738,205;0;1;23074
"1343";2739,087;1;0;23135
"178";2739,977;0;1;23197
"1344";2740,667;1;0;23245
"179";2741,417;0;1;23297
"1345";2742,224;1;0;23353
"180";2742,957;0;1;23404
"1346";2743,866;1;0;23467
"181";2744,757;0;1;23529
"1347";2745,612;1;0;23588
"182";2746,503;0;1;23650
"1348";2747,222;1;0;23700
"183";2747,842;0;1;23743
"1349";2749,022;1;0;23825
"184";2750,118;0;1;23901
"1350";2751,097;1;0;23969
"185";2751,946;0;1;24028
"1351";2752,67;1;0;24078
"186";2753,823;0;1;24158
"1352";2754,598;1;0;24212
"187";2755,349;0;1;24264
"1353";2756,286;1;0;24329
"188";2757,163;0;1;24390
"1354";2757,942;1;0;24444
"189";2758,749;0;1;24500
"1355";2759,538;1;0;24555
"190";2760,421;0;1;24616
"1356";2761,228;1;0;24672
"191";2762,063;0;1;24730
"1357";2762,954;1;0;24792
"192";2763,761;0;1;24848
"1358";2764,629;1;0;24908
"193";2765,361;0;1;24959
"1359";2766,271;1;0;25022
"194";2767,24;0;1;25089
"1360";2768,158;1;0;25153
"195";2769,166;0;1;25223
"1361";2770,062;1;0;25285
"196";2770,897;0;1;25343
"1362";2771,49;1;0;25384
"197";2772,437;0;1;25450
"1363";2773,878;1;0;25550
"198";2775,136;0;1;25637
"1364";2776,433;1;0;25727
"199";2777,6;0;1;25808
"1365";2778,794;1;0;25891
"200";2780,32;0;1;25997
"1366";2781,881;1;0;26105
"201";2783,28;0;1;26202
"1367";2784,488;1;0;26286
"202";2786;0;1;26391
"1368";2787,684;1;0;26508
"203";2789,141;0;1;26609
"1369";2790,466;1;0;26701
"204";2791,802;0;1;26793
"1370";2793,184;1;0;26889
"205";2794,454;0;1;26977
"1371";2795,713;1;0;27064
"206";2796,951;0;1;27150
"1372";2798,22;1;0;27238
"207";2799,344;0;1;27316
"1373";2800,553;1;0;27400
"208";2801,836;0;1;27489
"1374";2803,061;1;0;27574
"209";2804,245;0;1;27656
"1375";2805,509;1;0;27744
"210";2806,635;0;1;27822
"1376";2807,629;1;0;27891
"211";2808,409;0;1;27945
"1377";2809,272;1;0;28005
"212";2809,85;0;1;28045
"1378";2810,558;1;0;28094
