"";"Time";"exp";"insp";"idx"
"1";1056,487;0;1;12
"2";1057,837;1;0;39
"3";1059,937;0;1;81
"4";1062,437;1;0;131
"5";1065,437;0;1;191
"6";1067,937;1;0;241
"7";1070,787;0;1;298
"8";1072,787;1;0;338
"9";1075,487;0;1;392
"10";1077,737;1;0;437
"11";1080,487;0;1;492
"12";1082,937;1;0;541
"13";1085,187;0;1;586
"14";1086,787;1;0;618
"15";1088,687;0;1;656
"16";1089,737;1;0;677
"17";1091,137;0;1;705
"18";1092,837;1;0;739
"19";1094,687;0;1;776
"20";1096,087;1;0;804
"21";1097,387;0;1;830
"22";1098,537;1;0;853
"23";1099,837;0;1;879
"24";1101,187;1;0;906
"25";1103,387;0;1;950
"26";1105,337;1;0;989
"27";1107,637;0;1;1035
"28";1109,387;1;0;1070
"29";1111,837;0;1;1119
"30";1113,837;1;0;1159
"31";1116,187;0;1;1206
"32";1117,737;1;0;1237
"33";1119,237;0;1;1267
"34";1120,887;1;0;1300
"35";1123,037;0;1;1343
"36";1124,687;1;0;1376
"37";1126,687;0;1;1416
"38";1128,387;1;0;1450
"39";1130,437;0;1;1491
"40";1132,037;1;0;1523
"41";1133,887;0;1;1560
"42";1135,487;1;0;1592
"43";1137,587;0;1;1634
"44";1139,837;1;0;1679
"45";1142,437;0;1;1731
"46";1143,787;1;0;1758
"47";1145,137;0;1;1785
"48";1147,087;1;0;1824
"49";1149,387;0;1;1870
"50";1150,887;1;0;1900
"51";1152,287;0;1;1928
"52";1153,687;1;0;1956
"53";1155,087;0;1;1984
"54";1156,237;1;0;2007
"55";1157,437;0;1;2031
"56";1158,637;1;0;2055
"57";1159,887;0;1;2080
"58";1161,137;1;0;2105
"59";1162,387;0;1;2130
"60";1163,687;1;0;2156
"61";1165,287;0;1;2188
"62";1166,587;1;0;2214
"63";1167,837;0;1;2239
"64";1168,987;1;0;2262
"65";1170,237;0;1;2287
"66";1171,387;1;0;2310
"67";1172,637;0;1;2335
"68";1173,787;1;0;2358
"69";1175,037;0;1;2383
"70";1176,237;1;0;2407
"71";1177,537;0;1;2433
"72";1178,687;1;0;2456
"73";1179,937;0;1;2481
"74";1181,137;1;0;2505
"75";1182,337;0;1;2529
"76";1183,537;1;0;2553
"77";1184,687;0;1;2576
"78";1185,937;1;0;2601
"79";1187,187;0;1;2626
"80";1188,337;1;0;2649
"81";1189,537;0;1;2673
"82";1190,737;1;0;2697
"83";1191,987;0;1;2722
"84";1193,187;1;0;2746
"85";1194,387;0;1;2770
"86";1195,587;1;0;2794
"87";1196,837;0;1;2819
"88";1197,987;1;0;2842
"89";1199,187;0;1;2866
"90";1200,387;1;0;2890
"91";1201,587;0;1;2914
"92";1202,787;1;0;2938
"93";1204,087;0;1;2964
"94";1205,337;1;0;2989
"95";1206,637;0;1;3015
"96";1207,687;1;0;3036
"97";1208,837;0;1;3059
"98";1210,037;1;0;3083
"99";1211,487;0;1;3112
"100";1212,587;1;0;3134
"101";1213,837;0;1;3159
"102";1215,037;1;0;3183
"103";1216,337;0;1;3209
"104";1217,737;1;0;3237
"105";1219,087;0;1;3264
"106";1219,987;1;0;3282
"107";1221,187;0;1;3306
"108";1222,387;1;0;3330
"109";1223,637;0;1;3355
"110";1224,787;1;0;3378
"111";1226,187;0;1;3406
"112";1227,387;1;0;3430
"113";1228,637;0;1;3455
"114";1229,837;1;0;3479
"115";1231,087;0;1;3504
"116";1232,337;1;0;3529
"117";1233,637;0;1;3555
"118";1234,787;1;0;3578
"119";1235,987;0;1;3602
