"";"Time";"exp";"insp";"idx"
"1271";1053,426;1;0;64
"1";1054,317;0;1;126
"1272";1055,744;1;0;225
"2";1057,022;0;1;314
"1273";1058,147;1;0;392
"3";1058,692;0;1;430
"1274";1059,866;1;0;511
"4";1062,323;0;1;682
"1275";1063,573;1;0;769
"5";1065,014;0;1;869
"1276";1066,05;1;0;941
"6";1067,347;0;1;1031
"1277";1070,755;1;0;1268
"7";1072,21;0;1;1369
"1278";1072,797;1;0;1410
"8";1074,904;0;1;1556
"1279";1076,429;1;0;1662
"9";1077,65;0;1;1747
"1280";1078,039;1;0;1774
"10";1079,567;0;1;1880
"1281";1080,65;1;0;1955
"11";1082,09;0;1;2055
"1282";1083,125;1;0;2127
"12";1085,037;0;1;2260
"1283";1087,465;1;0;2429
"13";1088,491;0;1;2500
"1284";1089,643;1;0;2580
"14";1090,907;0;1;2668
"1285";1092,1;1;0;2751
"15";1093,364;0;1;2839
"1286";1094,632;1;0;2927
"16";1095,252;0;1;2970
"1287";1096,488;1;0;3056
"17";1098,762;0;1;3214
"1288";1100,302;1;0;3321
"18";1101,236;0;1;3386
"1289";1102,277;1;0;3458
"19";1103,672;0;1;3555
"1290";1104,782;1;0;3632
"20";1105,831;0;1;3705
"1291";1106,895;1;0;3779
"21";1108,247;0;1;3873
"1292";1109,63;1;0;3969
"22";1110,382;0;1;4021
"1293";1111,502;1;0;4099
"23";1112,697;0;1;4182
"1294";1113,835;1;0;4261
"24";1114,884;0;1;4334
"1295";1115,603;1;0;4384
"25";1117,163;0;1;4492
"1296";1118,026;1;0;4552
"26";1118,949;0;1;4616
"1297";1120,503;1;0;4724
"27";1121,754;0;1;4811
"1298";1122,617;1;0;4871
"28";1123,597;0;1;4939
"1299";1124,722;1;0;5017
"29";1125,874;0;1;5097
"1300";1127,11;1;0;5183
"30";1128,359;0;1;5270
"1301";1129,441;1;0;5345
"31";1130,589;0;1;5425
"1302";1131,686;1;0;5501
"32";1132,909;0;1;5586
"1303";1133,829;1;0;5650
"33";1135,187;0;1;5744
"1304";1136,354;1;0;5825
"34";1137,493;0;1;5904
"1305";1138,621;1;0;5982
"35";1139,759;0;1;6061
"1306";1142,871;1;0;6277
"36";1144,327;0;1;6378
"1307";1145,569;1;0;6464
"37";1146,75;0;1;6546
"1308";1147,711;1;0;6613
"38";1148,78;0;1;6687
"1309";1149,95;1;0;6768
"39";1151,214;0;1;6856
"1310";1152,325;1;0;6933
"40";1153,465;0;1;7012
"1311";1154,819;1;0;7106
"41";1156,104;0;1;7195
"1312";1157,182;1;0;7270
"42";1158,55;0;1;7365
"1313";1159,765;1;0;7449
"43";1161,099;0;1;7542
"1314";1162,274;1;0;7621
"44";1163,295;0;1;7692
"1315";1164,721;1;0;7791
"45";1165,758;0;1;7863
"1316";1167,602;1;0;7991
"46";1169,387;0;1;8115
"1317";1170,665;1;0;8204
