"";"Time";"exp";"insp";"idx"
"1";1737,562;0;1;41
"1256";1738,815;1;0;128
"2";1740,166;0;1;222
"1257";1741,27;1;0;299
"3";1743,243;0;1;436
"1258";1744,861;1;0;548
"4";1746,385;0;1;654
"1259";1747,621;1;0;740
"5";1749,046;0;1;839
"1260";1750,342;1;0;929
"6";1751,9;0;1;1037
"1261";1753,31;1;0;1135
"7";1754,979;0;1;1251
"1262";1756,145;1;0;1332
"8";1757,67;0;1;1438
"1263";1759,462;1;0;1562
"9";1761,234;0;1;1685
"1264";1762,399;1;0;1766
"10";1763,852;0;1;1867
"1265";1765,003;1;0;1947
"11";1766,334;0;1;2039
"1266";1767,238;1;0;2102
"12";1768,279;0;1;2174
"1267";1769,128;1;0;2233
"13";1770,396;0;1;2321
"1268";1771,315;1;0;2385
"14";1772,495;0;1;2467
"1269";1773,552;1;0;2540
"15";1774,331;0;1;2594
"1270";1775,208;1;0;2655
"16";1776,402;0;1;2738
"1271";1777,442;1;0;2810
"17";1778,161;0;1;2860
"1272";1779,141;1;0;2928
"18";1780,177;0;1;3000
"1273";1781,074;1;0;3062
"19";1782,095;0;1;3133
"1274";1782,86;1;0;3186
"20";1783,841;0;1;3254
"1275";1784,747;1;0;3317
"21";1785,913;0;1;3398
"1276";1787,097;1;0;3480
"22";1788,162;0;1;3554
"1277";1789,184;1;0;3625
"23";1790,037;0;1;3684
"1278";1791,1;1;0;3758
"24";1792,369;0;1;3846
"1279";1793,549;1;0;3928
"25";1794,78;0;1;4013
"1280";1795,946;1;0;4094
"26";1797,01;0;1;4168
"1281";1798,018;1;0;4238
"27";1798,998;0;1;4306
"1282";1800,123;1;0;4384
"28";1801,336;0;1;4468
"1283";1802,444;1;0;4545
"29";1803,513;0;1;4619
"1284";1804,562;1;0;4692
"30";1805,66;0;1;4768
"1285";1806,873;1;0;4852
"31";1807,901;0;1;4923
"1286";1810,05;1;0;5072
"32";1811,015;0;1;5139
"1287";1812,182;1;0;5220
"33";1813,148;0;1;5287
"1288";1814,053;1;0;5350
"34";1814,977;0;1;5414
"1289";1815,93;1;0;5480
"35";1816,837;0;1;5543
"1290";1817,589;1;0;5595
"36";1818,555;0;1;5662
"1291";1819,619;1;0;5736
"37";1820,701;0;1;5811
"1292";1821,751;1;0;5884
"38";1822,806;0;1;5957
"1293";1823,585;1;0;6011
"39";1824,462;0;1;6072
"1294";1830,297;1;0;6246
"40";1831,59;0;1;6326
"1295";1831,837;1;0;6343
"41";1832,699;0;1;6403
"1296";1833,603;1;0;6466
"42";1834,515;0;1;6529
"1297";1835,307;1;0;6584
"43";1835,741;0;1;6614
"1298";1836,543;1;0;6670
"44";1837,494;0;1;6736
"1299";1838,259;1;0;6789
"45";1838,907;0;1;6834
"1300";1839,639;1;0;6885
"46";1839,942;0;1;6906
"1301";1840,778;1;0;6964
"47";1841,662;0;1;7025
"1302";1842,021;1;0;7050
"48";1842,827;0;1;7106
"1303";1843,634;1;0;7162
"49";1844,31;0;1;7209
"1304";1845,071;1;0;7262
"50";1845,779;0;1;7311
"1305";1847,002;1;0;7396
"51";1848,112;0;1;7473
"1306";1849,093;1;0;7541
"52";1849,568;0;1;7574
"1307";1850,575;1;0;7644
"53";1851,109;0;1;7681
"1308";1851,744;1;0;7725
"54";1852,783;0;1;7797
"1309";1853,287;1;0;7832
"55";1854,061;0;1;7886
"1310";1854,639;1;0;7926
"56";1855,4;0;1;7979
"1311";1856,198;1;0;8034
"57";1857,248;0;1;8107
"1312";1857,635;1;0;8134
"58";1858,298;0;1;8180
"1313";1859,206;1;0;8243
"59";1859,752;0;1;8281
"1314";1860,628;1;0;8342
"60";1861,669;0;1;8414
"1315";1862,788;1;0;8492
"61";1863,443;0;1;8537
"1316";1864,077;1;0;8581
"62";1865,368;0;1;8671
