"";"Time";"exp";"insp";"idx"
"1";1642,209;0;1;25
"2";1643,209;1;0;45
"3";1644,509;0;1;71
"4";1645,359;1;0;88
"5";1646,959;0;1;120
"6";1647,809;1;0;137
"7";1648,859;0;1;158
"8";1649,609;1;0;173
"9";1651,209;0;1;205
"10";1652,059;1;0;222
"11";1653,459;0;1;250
"12";1653,709;1;0;255
"13";1653,859;0;1;258
"14";1654,159;1;0;264
"15";1654,659;0;1;274
"16";1655,459;1;0;290
"17";1656,959;0;1;320
"18";1657,809;1;0;337
"19";1659,159;0;1;364
"20";1660,059;1;0;382
"21";1661,109;0;1;403
"22";1661,909;1;0;419
"23";1662,959;0;1;440
"24";1663,759;1;0;456
"25";1664,959;0;1;480
"26";1665,859;1;0;498
"27";1667,059;0;1;522
"28";1667,859;1;0;538
"29";1669,059;0;1;562
"30";1669,959;1;0;580
"31";1670,959;0;1;600
"32";1671,809;1;0;617
"33";1672,709;0;1;635
"34";1673,559;1;0;652
"35";1674,459;0;1;670
"36";1675,059;1;0;682
"37";1675,959;0;1;700
"38";1677,459;1;0;730
"39";1678,759;0;1;756
"40";1679,559;1;0;772
"41";1680,559;0;1;792
"42";1681,259;1;0;806
"43";1682,259;0;1;826
"44";1682,909;1;0;839
"45";1684,009;0;1;861
"46";1684,859;1;0;878
"47";1686,609;0;1;913
"48";1686,859;1;0;918
"49";1688,059;0;1;942
"50";1688,809;1;0;957
"51";1689,059;0;1;962
"52";1689,759;1;0;976
"53";1690,809;0;1;997
"54";1691,609;1;0;1013
"55";1692,609;0;1;1033
"56";1693,359;1;0;1048
"57";1694,309;0;1;1067
"58";1695,109;1;0;1083
"59";1696,409;0;1;1109
"60";1697,109;1;0;1123
"61";1697,459;0;1;1130
"62";1698,359;1;0;1148
"63";1699,659;0;1;1174
"64";1700,409;1;0;1189
"65";1701,359;0;1;1208
"66";1702,109;1;0;1223
"67";1703,159;0;1;1244
"68";1703,909;1;0;1259
"69";1704,859;0;1;1278
"70";1705,559;1;0;1292
"71";1707,259;0;1;1326
"72";1708,209;1;0;1345
"73";1710,009;0;1;1381
"74";1710,709;1;0;1395
"75";1711,709;0;1;1415
"76";1712,509;1;0;1431
"77";1713,509;0;1;1451
"78";1714,359;1;0;1468
"79";1715,809;0;1;1497
"80";1716,609;1;0;1513
"81";1717,609;0;1;1533
"82";1718,409;1;0;1549
"83";1719,359;0;1;1568
"84";1720,159;1;0;1584
"85";1721,009;0;1;1601
"86";1721,759;1;0;1616
"87";1722,809;0;1;1637
"88";1723,559;1;0;1652
"89";1724,409;0;1;1669
"90";1725,159;1;0;1684
"91";1726,159;0;1;1704
"92";1726,959;1;0;1720
"93";1727,809;0;1;1737
"94";1728,509;1;0;1751
"95";1729,409;0;1;1769
