"";"Time";"exp";"insp";"idx"
"1";1476,028;0;1;27
"2";1476,778;1;0;42
"3";1478,028;0;1;67
"4";1479,028;1;0;87
"5";1480,328;0;1;113
"6";1481,228;1;0;131
"7";1482,178;0;1;150
"8";1482,928;1;0;165
"9";1484,128;0;1;189
"10";1484,928;1;0;205
"11";1486,428;0;1;235
"12";1487,578;1;0;258
"13";1487,928;0;1;265
"14";1488,328;1;0;273
"15";1489,478;0;1;296
"16";1490,228;1;0;311
"17";1491,628;0;1;339
"18";1492,578;1;0;358
"19";1493,578;0;1;378
"20";1494,378;1;0;394
"21";1495,778;0;1;422
"22";1496,678;1;0;440
"23";1498,078;0;1;468
"24";1498,878;1;0;484
"25";1500,028;0;1;507
"26";1500,728;1;0;521
"27";1501,828;0;1;543
"28";1502,528;1;0;557
"29";1504,278;0;1;592
"30";1504,778;1;0;602
"31";1505,178;0;1;610
"32";1506,128;1;0;629
"33";1506,678;0;1;640
"34";1507,328;1;0;653
"35";1507,978;0;1;666
"36";1509,078;1;0;688
"37";1510,028;0;1;707
"38";1510,528;1;0;717
"39";1510,828;0;1;723
"40";1511,178;1;0;730
"41";1511,928;0;1;745
"42";1512,628;1;0;759
"43";1514,028;0;1;787
"44";1515,228;1;0;811
"45";1516,578;0;1;838
"46";1517,328;1;0;853
"47";1518,078;0;1;868
"48";1518,678;1;0;880
"49";1519,428;0;1;895
"50";1520,228;1;0;911
"51";1521,278;0;1;932
"52";1522,128;1;0;949
"53";1523,228;0;1;971
"54";1524,028;1;0;987
"55";1524,778;0;1;1002
"56";1525,528;1;0;1017
"57";1526,478;0;1;1036
"58";1528,428;1;0;1075
"59";1530,428;0;1;1115
"60";1531,328;1;0;1133
"61";1532,078;0;1;1148
"62";1532,828;1;0;1163
"63";1533,528;0;1;1177
"64";1534,578;1;0;1198
"65";1535,578;0;1;1218
"66";1536,778;1;0;1242
"67";1536,828;0;1;1243
"68";1537,178;1;0;1250
"69";1537,978;0;1;1266
"70";1538,628;1;0;1279
"71";1539,778;0;1;1302
"72";1540,578;1;0;1318
"73";1541,928;0;1;1345
"74";1542,728;1;0;1361
"75";1543,378;0;1;1374
"76";1544,128;1;0;1389
"77";1544,978;0;1;1406
"78";1545,828;1;0;1423
"79";1547,228;0;1;1451
"80";1548,028;1;0;1467
"81";1549,028;0;1;1487
"82";1549,928;1;0;1505
"83";1551,628;0;1;1539
"84";1552,478;1;0;1556
"85";1553,528;0;1;1577
"86";1554,378;1;0;1594
"87";1555,528;0;1;1617
"88";1556,428;1;0;1635
"89";1557,478;0;1;1656
"90";1558,278;1;0;1672
"91";1559,128;0;1;1689
"92";1559,878;1;0;1704
"93";1560,728;0;1;1721
"94";1561,428;1;0;1735
"95";1562,228;0;1;1751
"96";1562,978;1;0;1766
"97";1563,728;0;1;1781
"98";1564,428;1;0;1795
"99";1565,428;0;1;1815
"100";1566,228;1;0;1831
"101";1566,878;0;1;1844
"102";1567,228;1;0;1851
"103";1568,428;0;1;1875
"104";1569,128;1;0;1889
"105";1570,028;0;1;1907
"106";1570,628;1;0;1919
"107";1571,178;0;1;1930
"108";1571,778;1;0;1942
"109";1572,828;0;1;1963
"110";1573,478;1;0;1976
"111";1573,978;0;1;1986
"112";1574,478;1;0;1996
"113";1575,078;0;1;2008
"114";1575,728;1;0;2021
"115";1576,378;0;1;2034
"116";1577,078;1;0;2048
"117";1578,128;0;1;2069
"118";1578,828;1;0;2083
"119";1579,578;0;1;2098
"120";1580,278;1;0;2112
"121";1581,028;0;1;2127
"122";1581,728;1;0;2141
"123";1582,578;0;1;2158
"124";1583,278;1;0;2172
"125";1584,028;0;1;2187
"126";1584,678;1;0;2200
"127";1585,428;0;1;2215
"128";1586,128;1;0;2229
"129";1586,878;0;1;2244
"130";1587,578;1;0;2258
"131";1588,178;0;1;2270
"132";1588,728;1;0;2281
"133";1590,028;0;1;2307
"134";1590,678;1;0;2320
"135";1591,178;0;1;2330
"136";1591,878;1;0;2344
"137";1592,628;0;1;2359
"138";1593,728;1;0;2381
"139";1594,578;0;1;2398
"140";1595,528;1;0;2417
"141";1596,628;0;1;2439
"142";1597,728;1;0;2461
"143";1598,728;0;1;2481
"144";1599,778;1;0;2502
"145";1600,878;0;1;2524
"146";1601,428;1;0;2535
"147";1601,878;0;1;2544
"148";1602,578;1;0;2558
"149";1603,728;0;1;2581
"150";1604,328;1;0;2593
"151";1605,178;0;1;2610
"152";1605,778;1;0;2622
"153";1606,478;0;1;2636
"154";1607,078;1;0;2648
"155";1607,728;0;1;2661
"156";1608,228;1;0;2671
"157";1608,728;0;1;2681
"158";1609,228;1;0;2691
"159";1609,778;0;1;2702
"160";1610,378;1;0;2714
"161";1611,728;0;1;2741
"162";1612,478;1;0;2756
"163";1613,378;0;1;2774
"164";1614,578;1;0;2798
"165";1615,728;0;1;2821
"166";1616,828;1;0;2843
"167";1617,928;0;1;2865
"168";1619,028;1;0;2887
"169";1620,178;0;1;2910
"170";1621,228;1;0;2931
"171";1622,378;0;1;2954
"172";1623,428;1;0;2975
"173";1624,528;0;1;2997
"174";1625,678;1;0;3020
"175";1626,778;0;1;3042
"176";1627,878;1;0;3064
"177";1628,978;0;1;3086
"178";1630,078;1;0;3108
"179";1631,178;0;1;3130
"180";1632,278;1;0;3152
"181";1633,328;0;1;3173
"182";1634,828;1;0;3203
"183";1635,628;0;1;3219
"184";1636,628;1;0;3239
"185";1637,328;0;1;3253
"186";1637,678;1;0;3260
"187";1638,278;0;1;3272
"188";1638,978;1;0;3286
"189";1639,728;0;1;3301
"190";1640,478;1;0;3316
"191";1641,228;0;1;3331
"192";1642,328;1;0;3353
"193";1643,678;0;1;3380
"194";1644,878;1;0;3404
"195";1645,928;0;1;3425
"196";1647,028;1;0;3447
"197";1648,178;0;1;3470
"198";1649,278;1;0;3492
"199";1650,378;0;1;3514
"200";1651,578;1;0;3538
"201";1652,728;0;1;3561
"202";1653,778;1;0;3582
"203";1654,928;0;1;3605
"204";1656,078;1;0;3628
"205";1657,278;0;1;3652
"206";1658,378;1;0;3674
"207";1659,478;0;1;3696
"208";1660,628;1;0;3719
"209";1661,728;0;1;3741
"210";1662,778;1;0;3762
"211";1663,878;0;1;3784
"212";1665,028;1;0;3807
"213";1666,128;0;1;3829
"214";1667,278;1;0;3852
"215";1668,428;0;1;3875
"216";1669,478;1;0;3896
"217";1670,528;0;1;3917
"218";1671,678;1;0;3940
"219";1672,828;0;1;3963
"220";1674,228;1;0;3991
"221";1675,178;0;1;4010
"222";1676,328;1;0;4033
"223";1677,328;0;1;4053
"224";1678,478;1;0;4076
"225";1679,428;0;1;4095
"226";1680,728;1;0;4121
"227";1681,878;0;1;4144
"228";1683,028;1;0;4167
"229";1684,178;0;1;4190
"230";1685,328;1;0;4213
"231";1686,428;0;1;4235
"232";1687,578;1;0;4258
"233";1688,778;0;1;4282
"234";1689,878;1;0;4304
"235";1690,978;0;1;4326
"236";1692,128;1;0;4349
"237";1693,178;0;1;4370
"238";1694,478;1;0;4396
"239";1695,578;0;1;4418
"240";1696,828;1;0;4443
"241";1697,778;0;1;4462
"242";1699,128;1;0;4489
"243";1700,028;0;1;4507
"244";1701,428;1;0;4535
"245";1702,528;0;1;4557
"246";1703,528;1;0;4577
"247";1704,628;0;1;4599
"248";1705,978;1;0;4626
"249";1707,028;0;1;4647
"250";1708,228;1;0;4671
"251";1709,228;0;1;4691
"252";1710,478;1;0;4716
"253";1711,628;0;1;4739
"254";1712,778;1;0;4762
"255";1713,878;0;1;4784
"256";1714,978;1;0;4806
"257";1715,978;0;1;4826
"258";1717,128;1;0;4849
"259";1718,228;0;1;4871
"260";1719,278;1;0;4892
"261";1720,328;0;1;4913
"262";1721,528;1;0;4937
"263";1722,678;0;1;4960
"264";1723,678;1;0;4980
