"";"Time";"exp";"insp";"idx"
"1";1250,108;0;1;119
"1067";1251,405;1;0;209
"2";1252,496;0;1;285
"1068";1253,017;1;0;321
"3";1254,603;0;1;431
"1069";1256,24;1;0;545
"4";1257,061;0;1;602
"1070";1258,67;1;0;714
"5";1263,71;0;1;1064
"1071";1265,064;1;0;1158
"6";1266,948;0;1;1289
"1072";1268,863;1;0;1422
"7";1270,617;0;1;1544
"1073";1271,9;1;0;1633
"8";1273,468;0;1;1742
"1074";1274,84;1;0;1837
"9";1276,451;0;1;1949
"1075";1277,748;1;0;2039
"10";1278,349;0;1;2081
"1076";1279,245;1;0;2143
"11";1280,797;0;1;2251
"1077";1281,867;1;0;2325
"12";1282,888;0;1;2396
"1078";1284,019;1;0;2474
"13";1285,152;0;1;2553
"1079";1286,609;1;0;2654
"14";1288,223;0;1;2766
"1080";1289,692;1;0;2868
"15";1291,782;0;1;3013
"1081";1293,018;1;0;3099
"16";1293,97;0;1;3165
"1082";1295,095;1;0;3243
"17";1296,389;0;1;3333
"1083";1297,458;1;0;3407
"18";1298,955;0;1;3511
"1084";1300,467;1;0;3616
"19";1302,164;0;1;3734
"1085";1303,72;1;0;3842
"20";1305,348;0;1;3955
"1086";1307,163;1;0;4081
"21";1309,324;0;1;4231
"1087";1310,853;1;0;4337
"22";1311,945;0;1;4413
"1088";1313,257;1;0;4504
"23";1314,926;0;1;4620
"1089";1315,919;1;0;4689
"24";1317,055;0;1;4728
"1090";1322,16;1;0;4869
"25";1323,572;0;1;4942
"1091";1324,607;1;0;5014
"26";1325,613;0;1;5084
"1092";1326,909;1;0;5174
"27";1328,219;0;1;5265
"1093";1330,004;1;0;5389
"28";1331,934;0;1;5523
"1094";1333,922;1;0;5661
"29";1336,138;0;1;5815
"1095";1340,629;1;0;6127
"30";1342,526;0;1;6259
"1096";1344,73;1;0;6412
"31";1346,916;0;1;6564
"1097";1349,475;1;0;6742
"32";1351,25;0;1;6865
"1098";1353,119;1;0;6995
"33";1354,442;0;1;7087
"1099";1355,567;1;0;7165
"34";1357,828;0;1;7322
"1100";1359,683;1;0;7451
"35";1360,933;0;1;7538
"1101";1361,823;1;0;7600
"36";1362,355;0;1;7637
"1102";1364,167;1;0;7763
"37";1365,525;0;1;7857
"1103";1366,673;1;0;7937
"38";1367,824;0;1;8017
"1104";1368,978;1;0;8097
"39";1370,213;0;1;8183
"1105";1371,35;1;0;8262
"40";1372,518;0;1;8343
"1106";1373,73;1;0;8427
"41";1374,848;0;1;8505
"1107";1375,998;1;0;8585
"42";1377,136;0;1;8664
"1108";1378,142;1;0;8734
"43";1379,206;0;1;8808
"1109";1380,529;1;0;8900
"44";1381,549;0;1;8971
"1110";1382,657;1;0;9048
"45";1383,85;0;1;9131
"1111";1384,973;1;0;9209
"46";1386,095;0;1;9287
"1112";1387,09;1;0;9356
"47";1388,185;0;1;9432
"1113";1389,42;1;0;9518
"48";1390,701;0;1;9607
"1114";1391,922;1;0;9692
"49";1392,957;0;1;9764
"1115";1394,185;1;0;9849
"50";1395,434;0;1;9936
"1116";1396,627;1;0;10019
"51";1397,751;0;1;10097
"1117";1398,889;1;0;10176
"52";1400,054;0;1;10257
"1118";1401,235;1;0;10339
"53";1402,386;0;1;10419
"1119";1403,523;1;0;10498
"54";1404,772;0;1;10585
"1120";1405,966;1;0;10668
"55";1407,014;0;1;10741
"1121";1408,153;1;0;10820
"56";1409,347;0;1;10903
"1122";1410,601;1;0;10990
"57";1411,864;0;1;11078
"1123";1413,836;1;0;11215
