"";"Time";"exp";"insp";"idx"
"1";1163,33;0;1;2
"2";1165,18;1;0;39
"3";1167,43;0;1;84
"4";1168,43;1;0;104
"5";1169,33;0;1;122
"6";1170,53;1;0;146
"7";1171,53;0;1;166
"8";1172,88;1;0;193
"9";1174,48;0;1;225
"10";1174,68;1;0;229
"11";1175,83;0;1;252
"12";1176,68;1;0;269
"13";1178,03;0;1;296
"14";1178,93;1;0;314
"15";1180,43;0;1;344
"16";1181,03;1;0;356
"17";1181,93;0;1;374
"18";1182,98;1;0;395
"19";1184,53;0;1;426
"20";1185,78;1;0;451
"21";1188,18;0;1;499
"22";1189,03;1;0;516
"23";1190,58;0;1;547
"24";1191,38;1;0;563
"25";1192,58;0;1;587
"26";1193,48;1;0;605
"27";1195,18;0;1;639
"28";1196,18;1;0;659
"29";1198,23;0;1;700
"30";1198,98;1;0;715
"31";1200,08;0;1;737
"32";1200,88;1;0;753
"33";1202,03;0;1;776
"34";1202,93;1;0;794
"35";1204,13;0;1;818
"36";1205,23;1;0;840
"37";1206,58;0;1;867
"38";1207,63;1;0;888
"39";1208,73;0;1;910
"40";1209,68;1;0;929
"41";1210,88;0;1;953
"42";1211,83;1;0;972
"43";1213,03;0;1;996
"44";1213,88;1;0;1013
"45";1215,03;0;1;1036
"46";1215,83;1;0;1052
"47";1216,93;0;1;1074
"48";1217,83;1;0;1092
"49";1218,88;0;1;1113
"50";1219,73;1;0;1130
"51";1220,68;0;1;1149
"52";1221,48;1;0;1165
"53";1222,68;0;1;1189
"54";1223,58;1;0;1207
"55";1224,73;0;1;1230
"56";1225,63;1;0;1248
"57";1226,53;0;1;1266
"58";1227,43;1;0;1284
"59";1228,63;0;1;1308
"60";1229,58;1;0;1327
"61";1230,63;0;1;1348
"62";1231,83;1;0;1372
"63";1233,08;0;1;1397
"64";1235,18;1;0;1439
"65";1238,18;0;1;1499
"66";1240,08;1;0;1537
"67";1241,38;0;1;1563
"68";1242,18;1;0;1579
"69";1242,98;0;1;1595
"70";1243,93;1;0;1614
"71";1245,28;0;1;1641
"72";1246,18;1;0;1659
"73";1247,28;0;1;1681
"74";1248,18;1;0;1699
"75";1249,28;0;1;1721
"76";1250,18;1;0;1739
"77";1251,33;0;1;1762
"78";1252,23;1;0;1780
"79";1253,33;0;1;1802
"80";1254,23;1;0;1820
"81";1255,28;0;1;1841
"82";1256,23;1;0;1860
"83";1257,33;0;1;1882
"84";1258,13;1;0;1898
"85";1259,08;0;1;1917
"86";1259,73;1;0;1930
"87";1260,48;0;1;1945
"88";1261,28;1;0;1961
"89";1262,18;0;1;1979
"90";1263,03;1;0;1996
"91";1263,93;0;1;2014
"92";1264,68;1;0;2029
"93";1265,63;0;1;2048
"94";1266,18;1;0;2059
"95";1267,08;0;1;2077
"96";1267,88;1;0;2093
"97";1268,88;0;1;2113
"98";1269,68;1;0;2129
"99";1270,68;0;1;2149
"100";1271,43;1;0;2164
"101";1272,28;0;1;2181
"102";1272,98;1;0;2195
"103";1273,83;0;1;2212
"104";1274,53;1;0;2226
"105";1275,43;0;1;2244
"106";1276,23;1;0;2260
"107";1277,08;0;1;2277
"108";1277,93;1;0;2294
"109";1278,78;0;1;2311
"110";1279,58;1;0;2327
"111";1280,43;0;1;2344
"112";1281,23;1;0;2360
"113";1282,08;0;1;2377
"114";1282,83;1;0;2392
"115";1283,73;0;1;2410
"116";1284,58;1;0;2427
"117";1285,53;0;1;2446
"118";1286,33;1;0;2462
"119";1287,18;0;1;2479
"120";1287,98;1;0;2495
"121";1288,73;0;1;2510
"122";1289,68;1;0;2529
"123";1290,78;0;1;2551
"124";1291,78;1;0;2571
"125";1292,78;0;1;2591
"126";1293,93;1;0;2614
"127";1294,93;0;1;2634
"128";1296,03;1;0;2656
"129";1297,18;0;1;2679
"130";1298,18;1;0;2699
"131";1299,23;0;1;2720
"132";1299,88;1;0;2733
"133";1300,38;0;1;2743
"134";1301,33;1;0;2762
"135";1302,48;0;1;2785
"136";1303,33;1;0;2802
"137";1304,43;0;1;2824
"138";1305,48;1;0;2845
"139";1306,63;0;1;2868
