"";"Time";"exp";"insp";"idx"
"1";1297,946;0;1;7
"2";1298,846;1;0;25
"3";1300,646;0;1;61
"4";1301,546;1;0;79
"5";1303,396;0;1;116
"6";1304,246;1;0;133
"7";1306,596;0;1;180
"8";1307,396;1;0;196
"9";1309,796;0;1;244
"10";1310,746;1;0;263
"11";1312,346;0;1;295
"12";1313,146;1;0;311
"13";1314,846;0;1;345
"14";1315,796;1;0;364
"15";1317,896;0;1;406
"16";1318,146;1;0;411
"17";1318,546;0;1;419
"18";1319,496;1;0;438
"19";1321,296;0;1;474
"20";1321,996;1;0;488
"21";1324,096;0;1;530
"22";1324,846;1;0;545
"23";1326,896;0;1;586
"24";1327,946;1;0;607
"25";1329,746;0;1;643
"26";1330,596;1;0;660
"27";1331,746;0;1;683
"28";1332,346;1;0;695
"29";1333,696;0;1;722
"30";1334,396;1;0;736
"31";1335,646;0;1;761
"32";1336,246;1;0;773
"33";1337,246;0;1;793
"34";1337,996;1;0;808
"35";1339,096;0;1;830
"36";1339,846;1;0;845
"37";1341,096;0;1;870
"38";1341,796;1;0;884
"39";1342,846;0;1;905
"40";1343,646;1;0;921
"41";1344,746;0;1;943
"42";1345,446;1;0;957
"43";1346,496;0;1;978
"44";1347,296;1;0;994
"45";1348,596;0;1;1020
"46";1349,446;1;0;1037
"47";1350,746;0;1;1063
"48";1351,496;1;0;1078
"49";1352,796;0;1;1104
"50";1353,546;1;0;1119
"51";1354,946;0;1;1147
"52";1355,796;1;0;1164
"53";1357,146;0;1;1191
"54";1357,996;1;0;1208
"55";1359,196;0;1;1232
"56";1359,996;1;0;1248
"57";1362,096;0;1;1290
"58";1362,896;1;0;1306
"59";1363,946;0;1;1327
"60";1364,646;1;0;1341
"61";1365,796;0;1;1364
"62";1366,696;1;0;1382
"63";1367,946;0;1;1407
"64";1368,796;1;0;1424
"65";1369,946;0;1;1447
"66";1371,396;1;0;1476
"67";1372,746;0;1;1503
"68";1373,596;1;0;1520
"69";1374,846;0;1;1545
"70";1375,646;1;0;1561
"71";1377,096;0;1;1590
"72";1377,946;1;0;1607
"73";1379,346;0;1;1635
"74";1380,146;1;0;1651
"75";1381,396;0;1;1676
"76";1381,846;1;0;1685
"77";1382,446;0;1;1697
"78";1383,046;1;0;1709
"79";1384,096;0;1;1730
"80";1384,846;1;0;1745
"81";1386,096;0;1;1770
"82";1386,796;1;0;1784
"83";1387,896;0;1;1806
"84";1388,746;1;0;1823
"85";1389,846;0;1;1845
"86";1390,696;1;0;1862
"87";1391,646;0;1;1881
"88";1392,446;1;0;1897
"89";1393,396;0;1;1916
"90";1394,196;1;0;1932
"91";1395,046;0;1;1949
"92";1396,646;1;0;1981
"93";1398,896;0;1;2026
"94";1399,446;1;0;2037
"95";1400,596;0;1;2060
"96";1401,246;1;0;2073
"97";1402,196;0;1;2092
"98";1402,846;1;0;2105
"99";1404,146;0;1;2131
"100";1404,946;1;0;2147
"101";1405,896;0;1;2166
