,# heartbeat-timestamps[s],time,rr
1,1.825,4.40582013645715,1.823229236754999
2,6.57,9.15923921799697,4.753419081539819
3,7.205,9.795365902249399,0.6361266842524307
4,8.83,11.423249149352076,1.6278832471026767
5,9.85,12.445058941379603,1.0218097920275273
6,11.405,14.002817987068626,1.5577590456890231
7,12.115,14.71407774426426,0.7112597571956343
8,12.85,15.450381859107624,0.7363041148433638
9,13.635,16.236774689246456,0.7863928301388317
10,14.425,17.028176390914837,0.791401701668379
11,15.3,17.904728908585508,0.8765525176706728
12,16.225,18.83137014155165,0.9266412329661406
13,17.88,20.489306617831602,1.6579364762799536
14,18.565,21.175522017379503,0.6862153995479012
15,19.365,21.97694146210697,0.8014194447274683
16,20.875,23.48962066403008,1.5126792019231097
17,21.755,24.3711820532303,0.8815613892002183
18,22.39,25.007308737482727,0.636126684252428
19,23.265,25.883861255153402,0.8765525176706745
20,24.075,26.695298442939965,0.8114371877865629
21,25.695,28.318172818513098,1.622874375573133
22,26.44,29.064494676415556,0.7463218579024584
23,27.25,29.875931864202123,0.8114371877865665
24,28.255,30.882715041641006,1.0067831774388836
25,28.925,31.553903826600266,0.6711887849592593
26,29.655,32.285199069914086,0.73129524331382
27,30.715,33.34707983417798,1.061880764263897
28,32.215,34.849741293042,1.502661458864015
29,32.965,35.60107202247401,0.7513307294320057
30,33.78,36.417518081790114,0.8164460593161067
31,34.9,37.53950530440857,1.1219872226184577
32,35.62,38.2607828046633,0.7212775002547289
33,36.26,38.90191836044528,0.6411355557819789
34,37.08,39.72337329129093,0.821454930845654
35,37.895,40.539819350607054,0.8164460593161209
36,38.865,41.51154042733911,0.9717210767320594
37,39.6,42.24784454218248,0.7363041148433638
38,40.43,43.07931721608723,0.8314726739047558
39,41.27,43.920807633051076,0.8414904169638433
40,42.065,44.717218206249,0.7964105731979245
41,43.825,46.480340984649445,1.7631227784004437
42,44.63,47.28676930090646,0.8064283162570121
43,45.415,48.07316213104529,0.7863928301388299
44,46.17,48.82950173200684,0.7563396009615531
45,47.2,49.86132926709346,1.0318275350866202
46,48.805,51.46917702807795,1.607847760984491
47,49.53,52.19546339986223,0.7262863717842762
48,50.24,52.906723157057854,0.7112597571956272
49,51.07,53.73819583096261,0.8314726739047558
50,52.09,54.760005622990136,1.0218097920275255
51,53.61,56.28270256797233,1.5226969449821937
52,54.605,57.279468002352125,0.996765434379796
53,56.08,58.7570851035684,1.4776171012162749
54,56.895,59.57353116288452,0.8164460593161209
55,59.515,62.19817984436698,2.624648681482462
56,60.16,62.8443242716785,0.6461444273115191
57,60.895,63.58062838652187,0.7363041148433709
58,61.84,64.5273051056062,0.9466767190843299
59,63.5,66.1902504534157,1.6629453478095044
60,65.42,68.11365712076163,1.9234066673459296
61,67.035,69.73152262480522,1.6178655040435928
62,68.24,70.93866066342596,1.2071380386207409
63,68.975,71.67496477826933,0.7363041148433638
64,70.31,73.01233347665831,1.3373686983889854
65,71.615,74.31964894586999,1.307315469211673
66,73.59,76.29815320004094,1.9785042541709572
67,74.525,77.23481217606619,0.9366589760252424
68,75.465,78.17648002362095,0.9416678475547684
69,78.26,80.97643920863757,2.7999591850166183
70,79.78,82.49913615361976,1.5226969449821866
71,80.705,83.42577738658589,0.9266412329661335
72,81.915,84.6379242967362,1.2121469101503095
73,83.03,85.75490264782512,1.1169783510889175
74,83.825,86.55131322102304,0.7964105731979174
75,84.79,87.51802542622556,0.9667122052025263
76,87.135,89.86718617358295,2.349160747357388
77,88.745,91.48004280609699,1.6128566325140383
78,89.505,92.24139127858808,0.7613484724910933
79,91.065,93.80415919580665,1.5627679172185651
80,91.945,94.68572058500686,0.8815613892002148
81,92.685,95.4270335713798,0.7413129863729324
82,93.655,96.39875464811185,0.9717210767320523
83,95.16,97.90642497850541,1.507670330393566
84,96.285,99.0334210726534,1.1269960941479837
85,98.155,100.90673902470388,1.8733179520504848
86,99.44,102.19401900779738,1.287279983093498
87,100.09,102.84517230663846,0.6511532988410806
88,100.905,103.66161836595455,0.8164460593160925
89,102.36,105.11919998105266,1.457581615098107
90,103.195,105.95568152648694,0.8364815454342818
91,104.255,107.01756229075085,1.061880764263904
92,105.49,108.25475355854888,1.237191267798039
93,106.75,109.51698918399467,1.2622356254457827
94,107.59,110.3584796009585,0.8414904169638362
95,109.145,111.91623864664753,1.557759045689025
96,109.82,112.59243630313632,0.6761976564887959
97,111.085,113.85968080011163,1.2672444969753087
98,112.365,115.14195191167559,1.2822711115639578
99,114.425,117.20560698184885,2.0636550701732546
100,116.345,119.12901364919477,1.9234066673459296
101,117.26,120.04563713910183,0.9166234899070531
102,119.055,121.8438220182091,1.7981848791072679
103,119.89,122.68030356364339,0.836481545434296
104,120.96,123.75220207096638,1.0718985073229845
105,122.51,125.30495224512586,1.5527501741594847
106,123.455,126.25162896421018,0.9466767190843228
107,125.075,127.87450333978332,1.622874375573133
108,126.19,128.99148169087223,1.1169783510889033
109,126.95,129.75283016336334,0.7613484724911075
110,127.87,130.67446252479994,0.9216323614366075
111,128.605,131.41076663964327,0.7363041148433354
112,129.73,132.53776273379128,1.1269960941480122
113,131.17,133.9803177343007,1.4425550005094294
114,132.03,134.84184363738277,0.8615259030820539
115,134.28,137.0958358256788,2.2539921882960243
116,135.605,138.42318678100864,1.3273509553298481
117,136.52,139.3398102709157,0.9166234899070673
118,137.875,140.69721445542288,1.3574041845071747
119,138.61,141.43351857026624,0.7363041148433638
120,140.565,143.39198733831898,1.9584687680527395
121,141.29,144.11827371010324,0.7262863717842549
